area,hromada_code,hromada_name,total,female,male,female_pct,male_pct,urban,rural,urban_pct,rural_pct,youth,youth_pct,working_age_total,working_age_pct
Івано-Франківська,UA26020010000096556,Білоберізька,7206,3715,3491,0.52,0.48,0,7206,0,1,3035,0.42,5014,0.7
Івано-Франківська,UA26020030000088465,Верховинська,19039,9939,9100,0.52,0.48,15528,3511,0.82,0.18,7976,0.42,13484,0.71
Івано-Франківська,UA26020050000098694,Зеленська,1324,676,648,0.51,0.49,0,1324,0,1,519,0.39,961,0.73
Івано-Франківська,UA26040010000011271,Більшівцівська,5331,2862,2469,0.54,0.46,5331,0,1,0,1540,0.29,3779,0.71
Івано-Франківська,UA26040030000091528,Богородчанська,28316,14794,13522,0.52,0.48,15865,12451,0.56,0.44,10948,0.39,20573,0.73
Івано-Франківська,UA26040050000080752,Букачівська,4299,2275,2024,0.53,0.47,3921,378,0.91,0.09,1143,0.27,3004,0.7
Івано-Франківська,UA26040070000065724,Бурштинська,21314,11374,9940,0.53,0.47,18601,2713,0.87,0.13,6979,0.33,15409,0.72
Івано-Франківська,UA26040090000025932,Галицька,18421,9688,8733,0.53,0.47,13172,5249,0.72,0.28,6230,0.34,13377,0.73
Івано-Франківська,UA26040110000023512,Дзвиняцька,6909,3637,3272,0.53,0.47,0,6909,0,1,2396,0.35,4947,0.72
Івано-Франківська,UA26040130000010870,Дубовецька,5613,2988,2625,0.53,0.47,0,5613,0,1,1827,0.33,3976,0.71
Івано-Франківська,UA26040150000053322,Єзупільська,6700,3556,3144,0.53,0.47,6454,246,0.96,0.04,2101,0.31,4839,0.72
Івано-Франківська,UA26040170000097347,Загвіздянська,4400,2360,2040,0.54,0.46,0,4400,0,1,1617,0.37,3178,0.72
Івано-Франківська,UA26040190000081578,Івано-Франківська,269012,145270,123742,0.54,0.46,225993,43019,0.84,0.16,100983,0.38,193956,0.72
Івано-Франківська,UA26040210000094444,Лисецька,9236,4832,4404,0.52,0.48,5592,3644,0.61,0.39,3255,0.35,6880,0.74
Івано-Франківська,UA26040230000035526,Обертинська,6477,3405,3072,0.53,0.47,6242,235,0.96,0.04,2111,0.33,4645,0.72
