oblast_name,hromada_name,edem_petitions,edem_consultations,edem_participatory_budget,edem_open_hromada,hromada_code,edem_total
Донецька,Авдіївська,1,0,0,0,UA14160010000086090,1
Вінницька,Агрономічна,1,1,0,0,UA05020010000053508,2
Дніпропетровська,Апостолівська,0,1,0,0,UA12060010000090992,1
Тернопільська,Байковецька,0,0,1,1,UA61040010000042862,2
Харківська,Балаклійська,1,0,1,0,UA63040010000010092,2
Одеська,Балтська,1,0,1,1,UA51120030000075494,3
Вінницька,Барська,0,0,0,1,UA05060010000053179,1
Донецька,Бахмутська,1,1,1,0,UA14020010000088496,3
Миколаївська,Баштанська,1,0,0,0,UA48020010000091496,1
Житомирська,Бердичівська,1,0,0,0,UA18020030000035625,1
Закарпатська,Берегівська,0,0,0,1,UA21020030000019624,1
Тернопільська,Бережанська,0,0,1,0,UA61040030000060956,1
Вінницька,Бершадська,1,1,1,0,UA05040010000022470,3
Одеська,Білгород-Дністровська,1,1,1,0,UA51040010000016896,3
Запорізька,Біленьківська,0,0,1,0,UA23060010000052992,1
Івано-Франківська,Білоберізька,0,0,1,0,UA26020010000096556,1
Луганська,Біловодська,0,1,1,0,UA44140010000036188,2
Київська,Білогородська,0,0,1,0,UA32080010000060215,1
Черкаська,Білозірська,0,0,1,0,UA71080050000028174,1
Сумська,Білопільська,1,0,1,1,UA59080030000075526,3
Київська,Білоцерківська,1,0,1,1,UA32020010000093088,3
Полтавська,Білоцерківська,0,0,1,0,UA53060010000060316,1
Івано-Франківська,Богородчанська,0,0,1,0,UA26040030000091528,1
Київська,Богуславська,1,0,1,0,UA32120010000062762,2
Івано-Франківська,Болехівська,1,1,1,0,UA26060010000037638,3
Львівська,Бориславська,1,1,1,0,UA46020010000073886,3
Київська,Бориспільська,0,1,0,0,UA32040010000010116,1
Тернопільська,Борщівська,1,0,0,0,UA61060050000068464,1
Вінницька,Брацлавська,1,1,1,0,UA05100010000023453,3
Київська,Броварська,0,0,1,1,UA32060050000030591,2
Львівська,Бродівська,1,1,1,0,UA46040010000033885,3
Івано-Франківська,Брошнів-Осадська,0,1,0,0,UA26060030000011364,1
