hromada_code,hromada_center_code,hromada_type,hromada,hromada_center,oblast_name,raion_name,lat_center,lon_center,ttime,key,n_settlements,square
UA05020010000053508,UA05020010010058853,сільська,Агрономічна,Агрономічне,Вінницька,Вінницький,49.1927696,28.3720314,90.9,Вінницька Вінницький Агрономічна сільська,6,86.1
UA05020030000031457,UA05020030010063857,міська,Вінницька,Вінниця,Вінницька,Вінницький,49.2320162,28.467975,0,Вінницька Вінницький Вінницька міська,9,256.6
UA05020050000066991,UA05020050010084898,селищна,Вороновицька,Вороновиця,Вінницька,Вінницький,49.1117881,28.6889425,29.5,Вінницька Вінницький Вороновицька селищна,21,373.5
UA05020070000010139,UA05020070010053570,міська,Гніванська,Гнівань,Вінницька,Вінницький,49.0933696,28.338343,90.9,Вінницька Вінницький Гніванська міська,11,244.5
UA05020090000067118,UA05020090010088788,міська,Іллінецька,Іллінці,Вінницька,Вінницький,49.1136358,29.2024356,227.6,Вінницька Вінницький Іллінецька міська,30,469.3
UA05020110000052014,UA05020110010028819,міська,Липовецька,Липовець,Вінницька,Вінницький,49.2296415,29.0642148,67.7,Вінницька Вінницький Липовецька міська,39,614.8
UA05020130000056031,UA05020130010017278,селищна,Літинська,Літин,Вінницька,Вінницький,49.3232593,28.0837586,165.2,Вінницька Вінницький Літинська селищна,36,587.4
UA05020150000074651,UA05020150010063370,сільська,Лука-Мелешківська,Лука-Мелешківська,Вінницька,Вінницький,49.173946,28.495565,0,Вінницька Вінницький Лука-Мелешківська сільська,13,166.2
UA05020170000049432,UA05020170010087489,міська,Немирівська,Немирів,Вінницька,Вінницький,48.9654035,28.8430131,78.2,Вінницька Вінницький Немирівська міська,53,676.9
UA05020190000015755,UA05020190010015141,селищна,Оратівська,Оратів,Вінницька,Вінницький,49.19472,29.53056,360.6,Вінницька Вінницький Оратівська селищна,52,837.4
UA05020210000033427,UA05020210010023649,міська,Погребищенська,Погребище,Вінницька,Вінницький,49.4848166,29.2579157,227.2,Вінницька Вінницький Погребищенська міська,60,1202.3
UA05020230000029909,UA05020230010011069,селищна,Стрижавська,Стрижавка,Вінницька,Вінницький,49.3097584,28.4730593,90.9,Вінницька Вінницький Стрижавська селищна,13,240.3
UA05020250000055470,UA05020250010092635,селищна,Сутисківська,Сутиски,Вінницька,Вінницький,49.0453739,28.418232,0,Вінницька Вінницький Сутисківська селищна,3,63.2
UA05020270000044358,UA05020270010097237,селищна,Тиврівська,Тиврів,Вінницька,Вінницький,49.0139727,28.507999,0.6,Вінницька Вінницький Тиврівська селищна,26,420.4
UA05020290000092626,UA05020290010087426,селищна,Турбівська,Турбів,Вінницька,Вінницький,49.339939,28.7260729,0.6,Вінницька Вінницький Турбівська селищна,22,391.5
UA05020310000080026,UA05020310010019628,сільська,Якушинецька,Якушинці,Вінницька,Вінницький,49.259651,28.36672,90.9,Вінницька Вінницький Якушинецька сільська,17,279.1
UA05040010000022470,UA05040010010024726,міська,Бершадська,Бершадь,Вінницька,Гайсинський,48.36594,29.51889,208.6,Вінницька Гайсинський Бершадська міська,29,870.5
UA05040030000050131,UA05040030010071792,міська,Гайсинська,Гайсин,Вінницька,Гайсинський,48.8120874,29.3893874,225.3,Вінницька Гайсинський Гайсинська міська,43,660.4
UA05040050000080930,UA05040050010044288,селищна,Дашівська,Дашів,Вінницька,Гайсинський,49.0062062,29.4416807,225.3,Вінницька Гайсинський Дашівська селищна,24,446.3
UA05040070000093188,UA05040070010086984,сільська,Джулинська,Джулинка,Вінницька,Гайсинський,48.4439535,29.7482193,212.5,Вінницька Гайсинський Джулинська сільська,16,416.1
UA05040090000093950,UA05040090010040066,сільська,Краснопільська,Краснопілка,Вінницька,Гайсинський,48.797123,29.720028,360.6,Вінницька Гайсинський Краснопільська сільська,13,326.9
UA05040110000042036,UA05040110010046954,сільська,Кунківська,Кунка,Вінницька,Гайсинський,48.820564,29.268541,227.6,Вінницька Гайсинський Кунківська сільська,11,175.4
