"hromada_name","Амбулаторія","Місце провадження діяльності","ФАП","Філія (інший відокремлений підрозділ)","село","смт","місто","селище","Первинна","Спеціалізована","Екстрена","Комунальна","ФОП","Приватна (без ФОП)","Державна"
"Єзупільська",3,2,2,0,4,3,0,0,1,1,0,2,0,0,0
"Єланецька",8,2,6,0,13,3,0,0,2,1,0,3,0,0,0
"Ємільчинська",5,2,0,0,4,3,0,0,1,1,0,2,0,0,0
"Єрківська",1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"Іване-Пустенська",2,0,2,1,5,0,0,0,2,0,0,1,1,0,0
"Іваничівська",3,3,0,0,0,6,0,0,2,1,0,3,0,0,0
"Іванківська",20,1,4,2,24,3,0,0,5,1,0,5,1,0,0
"Івано-Франківська",34,48,3,28,17,4,92,0,32,21,1,25,13,16,0
"Іванівська",19,4,11,1,27,6,0,2,5,2,0,6,1,0,0
"Ізмаїльська",6,18,0,2,0,0,26,0,1,2,0,3,0,0,0
"Ізюмська",7,3,0,0,4,0,5,1,1,1,0,2,0,0,0
"Ізяславська",13,6,1,0,6,0,14,0,4,4,0,3,1,4,0
"Іларіонівська",9,1,1,0,7,2,0,2,3,0,0,2,1,0,0
"Іллінецька",8,4,22,1,26,4,4,1,4,2,0,4,2,0,0
"Іллінівська",8,1,1,0,8,0,0,2,1,0,0,1,0,0,0
"Ірпінська",15,6,0,5,3,0,23,0,4,4,0,5,1,2,0
"Іршавська",9,3,8,3,17,0,6,0,3,1,0,2,2,0,0
"Іршанська",2,0,0,0,0,2,0,0,1,0,0,1,0,0,0
"Ічнянська",9,7,1,2,7,4,8,0,5,3,0,8,0,0,0
"Авангардівська",6,0,0,0,2,4,0,0,2,0,0,1,1,0,0
"Авдіївська",1,3,0,0,0,0,4,0,1,1,0,2,0,0,0
"Агрономічна",0,1,3,0,4,0,0,0,1,1,0,1,1,0,0
"Аджамська",1,0,2,0,3,0,0,0,1,1,0,2,0,0,0
"Алчевська",4,1,1,0,4,2,0,0,1,1,0,2,0,0,0
"Ананьївська",8,3,3,0,8,0,6,0,3,3,0,6,0,0,0
"Андрушівська",3,2,0,1,3,0,3,0,1,1,0,2,0,0,0
"Андріяшівська",3,1,1,0,5,0,0,0,1,0,0,1,0,0,0
"Андрієво-Іванівська",1,0,1,0,2,0,0,0,1,0,0,1,0,0,0
"Андріївська",7,1,2,0,9,1,0,0,0,1,0,1,0,0,0
"Апостолівська",24,1,3,0,21,0,3,4,2,1,0,2,1,0,0
"Арбузинська",3,2,0,0,1,4,0,0,1,1,0,2,0,0,0
"Арцизька",13,2,6,1,17,0,5,0,1,1,0,2,0,0,0
"Асканія-Нова",1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"Бабинська",2,1,0,0,3,0,0,0,1,0,0,1,0,0,0
"Бабчинецька",2,0,0,0,2,0,0,0,1,0,0,1,0,0,0
"Байковецька",4,0,11,0,15,0,0,0,1,0,0,1,0,0,0
"Балаклеївська",1,0,6,0,7,0,0,0,0,1,0,1,0,0,0
"Балаклійська",19,4,0,2,13,6,6,0,2,2,0,3,1,0,0
"Балтська",10,2,3,0,8,1,5,1,3,2,0,4,1,0,0
"Баранинська",6,2,0,0,8,0,0,0,1,1,0,2,0,0,0
"Баранівська",8,2,0,0,3,2,5,0,3,1,0,2,0,2,0
"Барашівська",3,0,0,0,3,0,0,0,1,0,0,1,0,0,0
"Барвінківська",26,2,6,27,52,1,3,5,3,2,0,4,1,0,0
"Баришівська",8,1,0,1,6,4,0,0,1,1,0,2,0,0,0
"Барська",14,4,21,0,29,0,8,2,3,2,0,4,1,0,0
"Батуринська",1,2,2,0,2,0,3,0,1,0,0,1,0,0,0
"Батівська",5,0,4,0,8,1,0,0,2,0,0,0,2,0,0
"Бахмацька",10,6,1,2,7,0,12,0,6,4,0,6,4,0,0
"Бахмутська",1,5,1,1,2,0,6,0,0,2,0,2,0,0,0
"Баштанська",6,3,4,0,8,1,4,0,1,1,0,2,0,0,0
"Бездрицька",2,0,0,0,2,0,0,0,2,0,0,2,0,0,0
"Безлюдівська",4,0,1,0,2,3,0,0,1,0,0,1,0,0,0
"Белзька",4,3,0,0,2,0,5,0,1,0,0,1,0,0,0
"Бердичівська",11,14,0,1,1,0,25,0,5,3,0,3,3,2,0
"Бердянська",12,5,0,0,2,1,14,0,2,1,0,2,1,0,0
"Берегометська",6,1,8,3,13,5,0,0,2,0,0,1,0,1,0
"Берегівська",14,4,6,0,15,0,9,0,2,2,0,4,0,0,0
"Бережанська",3,4,0,0,2,0,5,0,1,1,0,2,0,0,0
"Березанська",15,4,9,3,22,6,3,0,6,2,0,7,1,0,0
"Березнегуватська",12,4,6,3,15,8,0,2,4,2,0,6,0,0,0
"Березнівська",25,19,16,2,38,0,24,0,8,3,0,4,7,0,0
"Березівська",18,10,10,5,28,2,13,0,7,4,0,9,2,0,0
"Берестечківська",4,2,0,0,2,0,4,0,1,1,0,2,0,0,0
"Берестівська",5,0,0,0,5,0,0,0,1,0,0,1,0,0,0
"Бериславська",3,1,0,0,2,0,2,0,1,1,0,2,0,0,0
"Бершадська",13,3,3,2,14,0,7,0,3,1,0,2,0,2,0
"Бехтерська",1,0,2,0,3,0,0,0,1,0,0,1,0,0,0
"Бишівська",5,0,2,0,7,0,0,0,1,0,0,1,0,0,0
"Благовіщенська",11,1,7,0,16,0,3,0,2,1,0,2,1,0,0
"Близнюківська",21,5,6,6,24,12,0,2,7,2,0,5,4,0,0
"Бобринецька",5,1,1,0,2,0,5,0,4,1,0,2,3,0,0
"Бобровицька",5,4,2,0,7,0,4,0,1,2,0,3,0,0,0
"Богодухівська",37,11,7,5,25,9,22,4,18,5,0,9,10,4,0
"Богородчанська",6,2,7,3,13,5,0,0,1,1,0,2,0,0,0
"Богуславська",10,2,20,2,27,4,3,0,4,2,0,5,1,0,0
"Божедарівська",21,1,4,0,22,2,0,2,2,0,0,2,0,0,0
"Бойківська",6,2,2,0,7,2,1,0,0,1,0,1,0,0,0
"Болградська",6,1,3,2,8,0,4,0,3,1,0,3,1,0,0
