hromada_code,hromada_name,raion_code,raion_name,oblast_code,oblast_name,type
UA01020010000048857,Андріївська,UA01020000000022387,Бахчисарайський,UA01000000000013043,Автономна Республіка Крим,NA
UA01020030000085835,Ароматненська,UA01020000000022387,Бахчисарайський,UA01000000000013043,Автономна Республіка Крим,NA
UA01020050000056842,Бахчисарайська,UA01020000000022387,Бахчисарайський,UA01000000000013043,Автономна Республіка Крим,NA
UA01020070000057731,Верхньосадівська,UA01020000000022387,Бахчисарайський,UA01000000000013043,Автономна Республіка Крим,NA
UA01020090000085519,Верхоріченська,UA01020000000022387,Бахчисарайський,UA01000000000013043,Автономна Республіка Крим,NA
UA01020110000025392,Вілінська,UA01020000000022387,Бахчисарайський,UA01000000000013043,Автономна Республіка Крим,NA
UA01020130000011846,Голубинська,UA01020000000022387,Бахчисарайський,UA01000000000013043,Автономна Республіка Крим,NA
UA01020150000013553,Долинненська,UA01020000000022387,Бахчисарайський,UA01000000000013043,Автономна Республіка Крим,NA
UA01020170000026113,Залізничненська,UA01020000000022387,Бахчисарайський,UA01000000000013043,Автономна Республіка Крим,NA
UA01020190000077808,Зеленівська,UA01020000000022387,Бахчисарайський,UA01000000000013043,Автономна Республіка Крим,NA
UA01020210000031011,Інкерманська,UA01020000000022387,Бахчисарайський,UA01000000000013043,Автономна Республіка Крим,NA
UA01020230000086125,Качинська,UA01020000000022387,Бахчисарайський,UA01000000000013043,Автономна Республіка Крим,NA
UA01020250000083187,Каштанівська,UA01020000000022387,Бахчисарайський,UA01000000000013043,Автономна Республіка Крим,NA
UA01020270000095791,Красномацька,UA01020000000022387,Бахчисарайський,UA01000000000013043,Автономна Республіка Крим,NA
UA01020290000023695,Куйбишевська,UA01020000000022387,Бахчисарайський,UA01000000000013043,Автономна Республіка Крим,NA
UA01020310000028500,Орлинівська,UA01020000000022387,Бахчисарайський,UA01000000000013043,Автономна Республіка Крим,NA
UA01020330000026857,Піщанівська,UA01020000000022387,Бахчисарайський,UA01000000000013043,Автономна Республіка Крим,NA
UA01020350000012924,Плодівська,UA01020000000022387,Бахчисарайський,UA01000000000013043,Автономна Республіка Крим,NA
UA01020370000098913,Поштівська,UA01020000000022387,Бахчисарайський,UA01000000000013043,Автономна Республіка Крим,NA
UA01020390000023946,Скалистівська,UA01020000000022387,Бахчисарайський,UA01000000000013043,Автономна Республіка Крим,NA
UA01020410000012183,Табачненська,UA01020000000022387,Бахчисарайський,UA01000000000013043,Автономна Республіка Крим,NA
UA01020430000077222,Тернівська,UA01020000000022387,Бахчисарайський,UA01000000000013043,Автономна Республіка Крим,NA
UA01020450000039196,Тінистівська,UA01020000000022387,Бахчисарайський,UA01000000000013043,Автономна Республіка Крим,NA
UA01020470000045027,Углівська,UA01020000000022387,Бахчисарайський,UA01000000000013043,Автономна Республіка Крим,NA
UA01040010000012643,Ароматнівська,UA01040000000069938,Білогірський,UA01000000000013043,Автономна Республіка Крим,NA
UA01040030000094499,Багатівська,UA01040000000069938,Білогірський,UA01000000000013043,Автономна Республіка Крим,NA
UA01040050000043618,Білогірська,UA01040000000069938,Білогірський,UA01000000000013043,Автономна Республіка Крим,NA
