budget_code,budget_name,hromada_name,hromada_code,raion_name,raion_code,oblast_name,oblast_name_en,oblast_code,region_en,region_code_en,year,income_total,income_transfert,income_military,income_pdfo,income_unified_tax,income_property_tax,income_excise_duty,income_corporate_tax,income_parking_fee,income_tourist_fee,income_eco_tax,income_non_tax,income_capital_proceedings,income_special_funds,income_rent,income_base_subsidy,income_own,own_income_prop,transfert_prop,military_tax_prop,pdfo_prop,unified_tax_prop,property_tax_prop,excise_duty_prop,corporate_tax_own_prop,parking_fee_own_prop,tourist_fee_own_prop,eco_tax_own_prop,non_tax_own_prop,capital_proceedings_own_prop,special_funds_own_prop,excise_duty_own_prop,pdfo_own_prop,unified_tax_own_prop,property_tax_own_prop,rent_own_prop,base_subsidy_prop,own_income_change,own_prop_change,own_income_change_net,total_income_change_net,total_income_change,own_income_no_mil_change_YoY_jan_feb,own_income_no_mil_change_YoY_mar_apr,own_income_no_mil_change_YoY_mar_may,own_income_no_mil_change_YoY_jun_aug,own_income_no_mil_change_YoY_jul_sep,own_income_no_mil_change_YoY_oct_jan,own_income_no_mil_change_YoY_oct_dec,own_income_no_mil_change_YoY_may_feb,own_income_no_mil_change_YoY_adapt,income_own_full_year,own_income_prop_full_year,recovery_month_distance,diversification_income_score,count_recovery,recovery_month_distance_2
0950400000,Бюджет Білоберізької сільської територіальної громади,Білоберізька,UA26020010000096556,Верховинський,UA26020000000044654,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2021,55116058.66,43681800,0,6655991.54,1595401.2,1320883.14,180238.46,0,0,6346,1945.76,440826.17,0,0,1232626.39,7535500,11434258.659999996,0.2075,0.7925,0,0.1208,0.0289,0.024,0.0033,0,0,6e-4,2e-4,0.0386,0,0,0.0158,0.5821,0.1395,0.1155,0.10780000000000001,0.1367,NA,NA,NA,NA,NA,72.22357249436311,40.060716270534115,20.006735280354594,14.607270728908372,24.559149140068428,2.693800863525442,4.239557839900732,-0.9606834870145131,-15.501567130465688,22014600.560000002,0.21564141525522082,0,3733.8090999999995,1,NA
0950400000,Бюджет Білоберізької сільської територіальної громади,Білоберізька,UA26020010000096556,Верховинський,UA26020000000044654,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2022,77350044.88,42893193,18539538.29,28262861.06,1697161.89,999359.9400000001,84654.93,0,0,6734.5,1957.37,677656.4,0,1130223.98,1596241.81,8320900,34456851.879999995,0.4455,0.5545,0.2397,0.3654,0.0219,0.0129,0.0011,0,0,2e-4,1e-4,0.0197,0,0.0328,0.0025,0.8202,0.0493,0.029,0.0463,0.1076,2.01,0.23800000000000002,23022593.22,22233986.22,0.4,72.22357249436311,40.060716270534115,20.006735280354594,14.607270728908372,24.559149140068428,2.693800863525442,4.239557839900732,-0.9606834870145131,-15.501567130465688,76251200.26,0.5334357261118577,0,6774.697600000001,1,NA
0950400000,Бюджет Білоберізької сільської територіальної громади,Білоберізька,UA26020010000096556,Верховинський,UA26020000000044654,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2023,91718457.98,34275795,42916603.83,51761312.3,1634283.3,1516222.43,199554.05,0,0,4972.2,3080.02,1233155.6500000001,0,0,1090083.03,0,57442662.980000004,0.6263,0.3737,0.4679,0.5644,0.0178,0.0165,0.0022,0,0,1e-4,1e-4,0.0215,0,0,0.0035,0.9011,0.0285,0.0264,0.019,0,0.67,0.18079999999999996,22985811.10000001,14368413.100000009,0.19,72.22357249436311,40.060716270534115,20.006735280354594,14.607270728908372,24.559149140068428,2.693800863525442,4.239557839900732,-0.9606834870145131,-15.501567130465688,57442662.980000004,0.6262933791639396,0,8139.649400000001,1,NA
0954300000,Бюджет Верховинської селищної територіальної громади,Верховинська,UA26020030000088465,Верховинський,UA26020000000044654,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2021,120945300.89,88758408.54,1118525.3399999999,20107900.19,3500525.69,2315613.05,1886671.3,337,0,64949.53,8271.51,2671980.57,342823.04,46000,1241820.47,13136900,32186892.349999994,0.2661,0.7339,0.0092,0.1663,0.0289,0.0191,0.0156,0,0,0.002,3e-4,0.083,0.0107,0.0014,0.0586,0.6247,0.1088,0.0719,0.0386,0.1086,NA,NA,NA,NA,NA,51.82877550030016,7.508409495527957,7.802384148628039,2.2793353859254406,6.262448882371774,28.38627615835918,35.676088765989334,13.656565757215745,-1.245960613156183,64116600.480000004,0.28269287528678133,7,4177.006400000001,3,NA
0954300000,Бюджет Верховинської селищної територіальної громади,Верховинська,UA26020030000088465,Верховинський,UA26020000000044654,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2022,139448372.4,97025365,5976001.899999999,29686133.95,4090028.21,1937662.75,1001804.65,455.85,0,106325.86,9811.33,2784762.9899999998,1679389.4,67740,1058892.41,14306600,42423007.400000006,0.3042,0.6958,0.0429,0.2129,0.0293,0.0139,0.0072,0,0,0.0025,2e-4,0.0656,0.0396,0.0016,0.0236,0.6998,0.0964,0.0457,0.025,0.1026,0.32,0.03810000000000002,10236115.050000012,18503071.510000005,0.15,51.82877550030016,7.508409495527957,7.802384148628039,2.2793353859254406,6.262448882371774,28.38627615835918,35.676088765989334,13.656565757215745,-1.245960613156183,87255908.15,0.36412218670640745,7,5075.388200000001,3,NA
0954300000,Бюджет Верховинської селищної територіальної громади,Верховинська,UA26020030000088465,Верховинський,UA26020000000044654,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2023,147958833.99,101132462.71,5485175.24,30287053.07,4427720.41,3158975.95,2284811.68,36,0,138843.5,12370.82,5340239.29,509900,165450,500970.56,18235700,46826371.280000016,0.3165,0.6835,0.0371,0.2047,0.0299,0.0214,0.0154,0,0,0.003,3e-4,0.114,0.0109,0.0035,0.0488,0.6468,0.0946,0.0675,0.0107,0.1232,0.1,0.012299999999999978,4403363.88000001,8510461.590000004,0.06,51.82877550030016,7.508409495527957,7.802384148628039,2.2793353859254406,6.262448882371774,28.38627615835918,35.676088765989334,13.656565757215745,-1.245960613156183,46826371.28,0.3164824297220727,7,4473.732400000002,3,NA
0954800000,Бюджет Зеленської сільської територіальної громади,Зеленська,UA26020050000098694,Верховинський,UA26020000000044654,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2021,13871817.44,8396900,530483.61,1836079.99,688387.76,1954834.72,5506,0,0,81030,175.23,60287.64,0,0,848616.1,1936200,5474917.4399999995,0.3947,0.6053,0.0382,0.1324,0.0496,0.1409,4e-4,0,0,0.0148,0,0.011,0,0,0.001,0.3354,0.1257,0.3571,0.155,0.1396,NA,NA,NA,NA,NA,11.300263243648367,18.184259782050294,-7.3317788702834115,11.98723870289491,25.674176437728,16.4356888264656,18.08167070927249,7.524936237813651,7.489916655677707,11209879.79,0.4378061562267056,0,2561.5509999999995,4,6
0954800000,Бюджет Зеленської сільської територіальної громади,Зеленська,UA26020050000098694,Верховинський,UA26020000000044654,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2022,15303787.6,8319785,1527055.26,3228208.85,822304.21,1962111.77,3512,386,0,40495,162.2,42182.63,0,0,884639.94,2004100,6984002.6,0.4564,0.5436,0.0998,0.2109,0.0537,0.1282,2e-4,1e-4,0,0.0058,0,0.006,0,0,5e-4,0.4622,0.1177,0.2809,0.1267,0.131,0.28,0.06169999999999998,1509085.1600000001,1431970.1600000001,0.1,11.300263243648367,18.184259782050294,-7.3317788702834115,11.98723870289491,25.674176437728,16.4356888264656,18.08167070927249,7.524936237813651,7.489916655677707,14768214.07,0.529700856885638,0,3064.5684,4,6
0954800000,Бюджет Зеленської сільської територіальної громади,Зеленська,UA26020050000098694,Верховинський,UA26020000000044654,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2023,18331953.53,8735462,1573351.84,3576947.04,657448.22,4351332.54,7348.85,0,0,41832,141.31,244728.87,0,0,716712.7,1469300,9596491.530000001,0.5235,0.4765,0.0858,0.1951,0.0359,0.2374,4e-4,0,0,0.0044,0,0.0255,0,0,8e-4,0.3727,0.0685,0.4534,0.0747,0.0801,0.37,0.06709999999999999,2612488.9300000016,3028165.9300000016,0.2,11.300263243648367,18.184259782050294,-7.3317788702834115,11.98723870289491,25.674176437728,16.4356888264656,18.08167070927249,7.524936237813651,7.489916655677707,9596491.530000001,0.5234843910276921,0,3498.3935,4,6
0953600000,Бюджет Єзупільської селищної територіальної громади,Єзупільська,UA26040150000053322,Івано-Франківський,UA26040000000044761,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2021,30723057.91,20784329.65,0,3806460.58,1726988.74,3539509.77,119164.22,0,0,0,2061.44,424083.92,0,0,320459.59,7528500,9938728.260000002,0.3235,0.6765,0,0.1239,0.0562,0.1152,0.0039,0,0,0,2e-4,0.0427,0,0,0.012,0.383,0.1738,0.3561,0.0322,0.245,NA,NA,NA,NA,NA,46.16824994984763,11.061067839528672,16.812193671683808,-3.2797370006679483,2.8377108163452958,5.311327943940136,3.5831310379012438,6.802269690624874,-8.223357023183375,19646683.090000004,0.3326470387620395,1,3056.6998,2,1
