hromada_code,hromada_name,sum_osbb_2020,sum_osbb_2019,sum_osbb_2018,sum_osbb_2017,sum_osbb_2016,sum_osbb_2015
UA14160010000086090,Авдіївська,30,29,25,25,23,12
UA01200030000060465,Алуштинська,134,134,135,135,135,135
UA44020010000067642,Алчевська,35,35,35,35,35,35
UA14080010000095044,Амвросіївська,3,3,4,4,4,4
UA51120010000025020,Ананьївська,4,4,3,3,2,2
UA18020010000059904,Андрушівська,0,0,0,0,0,0
UA44080010000030435,Антрацитівська,19,19,19,19,19,19
UA12060010000090992,Апостолівська,1,1,1,0,0,0
UA01140010000036312,Армянська,2,2,2,2,2,2
UA14020010000088496,Бахмутська,189,188,163,151,139,77
UA51060010000033212,Арцизька,2,2,2,2,2,2
UA63040010000010092,Балаклійська,28,28,28,28,28,26
UA51120030000075494,Балтська,5,5,4,3,2,1
UA05060010000053179,Барська,26,26,26,26,24,17
UA18080010000090720,Баранівська,1,1,1,1,1,1
UA74040010000076097,Батуринська,9,9,9,9,9,9
UA74040030000093042,Бахмацька,18,18,16,16,16,13
UA01020050000056842,Бахчисарайська,4,4,5,5,5,5
UA48020010000091496,Баштанська,52,52,52,52,52,51
UA18020030000035625,Бердичівська,162,162,160,155,150,90
UA23020050000046501,Бердянська,222,221,212,210,207,167
UA21020030000019624,Берегівська,60,60,57,51,48,38
UA61040030000060956,Бережанська,139,139,136,127,124,118
UA32060030000048241,Березанська,4,4,4,4,4,4
UA56060030000057923,Березнівська,31,30,29,29,29,28
UA65020010000060480,Бериславська,26,26,25,25,24,13
UA05040010000022470,Бершадська,1,1,1,1,1,1
UA46060010000049728,Бібрська,3,3,2,2,1,1
UA32020010000093088,Білоцерківська,121,121,117,115,112,59
UA51040010000016896,Білгород-Дністровська,96,96,95,91,89,65
UA01040050000043618,Білогірська,3,3,3,3,3,3
UA59080030000075526,Білопільська,5,5,1,1,0,0
UA51100030000027628,Біляївська,41,41,41,41,32,11
UA35040030000074104,Бобринецька,1,1,1,1,1,1
UA63020010000079018,Богодухівська,23,23,21,21,20,17
UA32120010000062762,Богуславська,14,14,13,13,13,3
UA51060030000044366,Болградська,17,17,17,16,14,10
UA26060010000037638,Болехівська,1,1,1,1,1,0
UA74040070000086652,Борзнянська,1,1,1,1,1,1
UA46020010000073886,Бориславська,101,100,77,70,64,33
UA32040010000010116,Бориспільська,40,40,37,30,29,25
UA61060050000068464,Борщівська,29,29,29,28,28,25
UA32140030000074165,Боярська,27,27,24,24,23,17
UA32060050000030591,Броварська,84,84,78,73,69,53
UA46040010000033885,Бродівська,64,64,58,55,54,51
UA44020050000061272,Кадіївська,166,166,167,167,167,167
UA59020030000072865,Буринська,5,5,5,5,5,5
UA26040070000065724,Бурштинська,5,5,5,5,5,4
UA46040030000058332,Буська,12,11,10,9,9,6
UA32080070000050759,Бучанська,31,31,26,22,19,13
UA61060070000098188,Бучацька,47,47,41,39,32,12
UA63020030000094096,Валківська,21,21,18,17,17,13
UA56020030000068439,Вараська,62,61,35,35,33,3
UA23040030000061166,Василівська,13,13,6,6,6,3
UA32120030000030458,Васильківська,17,17,17,17,17,5
UA71020030000059581,Ватутінська,4,4,4,4,3,1
UA73020070000035367,Вашківецька,3,3,3,3,3,3
UA46120030000069375,Великомостівська,2,2,2,2,2,2
UA12040050000057182,Верхньодніпровська,12,12,8,8,8,4
UA73020090000031499,Вижницька,2,2,2,2,2,2
UA51080010000087690,Вилківська,3,3,3,3,3,3
UA21020110000091104,Виноградівська,13,13,8,8,7,5
UA32100010000094393,Вишгородська,20,20,18,17,17,8
UA32080090000011038,Вишнева,39,39,32,31,30,22
UA12040090000029346,Вільногірська,9,9,9,9,9,9
UA23060030000037089,Вільнянська,11,11,9,7,7,4
UA05020030000031457,Вінницька,656,652,563,471,435,360
UA63140010000049419,Вовчанська,26,26,26,26,26,21
UA48040070000056126,Вознесенська,146,144,136,127,124,96
UA14040030000025138,Волноваська,21,21,22,22,22,15
UA07020010000096841,Володимир-Волинська,39,38,26,24,23,16
UA68040090000087566,Волочиська,14,14,14,11,10,8
UA59080070000062635,Ворожбянська,38,38,39,38,38,38
UA14060010000010738,Вуглегірська,9,9,9,9,9,9
UA14040050000064688,Вугледарська,90,90,88,87,86,58
UA53060090000098426,Гадяцька,4,4,4,4,4,4
UA35020050000014205,Гайворонська,0,0,0,0,0,0
UA05040030000050131,Гайсинська,11,11,11,11,11,10
UA26040090000025932,Галицька,4,4,4,4,4,4
UA65040010000061104,Генічеська,46,46,46,45,44,40
UA53020010000035494,Глобинська,3,3,3,3,3,3
UA59100030000078744,Глухівська,26,26,25,24,20,14
UA05020070000010139,Гніванська,24,24,24,19,5,5
UA65080030000058401,Голопристанська,25,24,23,22,22,13
UA53020030000081709,Горішньоплавнівська,35,35,34,34,34,17
