register_number,contract_name,register_date,main_municipality,cooperation_form,start,end,municipality_num,settlement,raion,oblast,key,settlement_name,settlement_code,hromada_code,hromada_name
1,Договір про співробітництво територіальних громад у формі створення спільного комунального підприємства,2014-12-08T00:00:00Z,"Віньковецька селищна рада (смт Віньківці, вул. Соборної України, 20 Віньковецький р-н, Хмельницька обл., тел./факс (03846) 21345, 21428)",Утворення суб’єктами співробітництва спільного комунального підприємства,2014-12-05,2019-12-04,2,с. Великий Олександрів,Віньковецький,Хмельницька,Хмельницька Віньковецький с. Великий Олександрів,Великий Олександрів,6820681001,UA68040050000052367,Віньковецька
1,Договір про співробітництво територіальних громад у формі створення спільного комунального підприємства,2014-12-08T00:00:00Z,"Віньковецька селищна рада (смт Віньківці, вул. Соборної України, 20 Віньковецький р-н, Хмельницька обл., тел./факс (03846) 21345, 21428)",Утворення суб’єктами співробітництва спільного комунального підприємства,2014-12-05,2019-12-04,3,с. Карачіївці,Віньковецький,Хмельницька,Хмельницька Віньковецький с. Карачіївці,Карачіївці,6820684001,UA68040050000052367,Віньковецька
1,Договір про співробітництво територіальних громад у формі створення спільного комунального підприємства,2014-12-08T00:00:00Z,"Віньковецька селищна рада (смт Віньківці, вул. Соборної України, 20 Віньковецький р-н, Хмельницька обл., тел./факс (03846) 21345, 21428)",Утворення суб’єктами співробітництва спільного комунального підприємства,2014-12-05,2019-12-04,4,с. Майдан-Олександрівський,Віньковецький,Хмельницька,Хмельницька Віньковецький с. Майдан-Олександрівський,Майдан-Олександрівський,6820684501,UA68040050000052367,Віньковецька
1,Договір про співробітництво територіальних громад у формі створення спільного комунального підприємства,2014-12-08T00:00:00Z,"Віньковецька селищна рада (смт Віньківці, вул. Соборної України, 20 Віньковецький р-н, Хмельницька обл., тел./факс (03846) 21345, 21428)",Утворення суб’єктами співробітництва спільного комунального підприємства,2014-12-05,2019-12-04,5,с. Охрімівці,Віньковецький,Хмельницька,Хмельницька Віньковецький с. Охрімівці,Охрімівці,6820686001,UA68040050000052367,Віньковецька
1,Договір про співробітництво територіальних громад у формі створення спільного комунального підприємства,2014-12-08T00:00:00Z,"Віньковецька селищна рада (смт Віньківці, вул. Соборної України, 20 Віньковецький р-н, Хмельницька обл., тел./факс (03846) 21345, 21428)",Утворення суб’єктами співробітництва спільного комунального підприємства,2014-12-05,2019-12-04,6,с. Петрашівка,Віньковецький,Хмельницька,Хмельницька Віньковецький с. Петрашівка,Петрашівка,6820686501,UA68040050000052367,Віньковецька
1,Договір про співробітництво територіальних громад у формі створення спільного комунального підприємства,2014-12-08T00:00:00Z,"Віньковецька селищна рада (смт Віньківці, вул. Соборної України, 20 Віньковецький р-н, Хмельницька обл., тел./факс (03846) 21345, 21428)",Утворення суб’єктами співробітництва спільного комунального підприємства,2014-12-05,2019-12-04,7,с. Покутинці,Віньковецький,Хмельницька,Хмельницька Віньковецький с. Покутинці,Покутинці,6820687001,UA68040190000021840,Зіньківська
2,"Договір про співробітництво територіальних громад у формі спільного фінансування (утримання) місцевої пожежної охорони (Хмельницька область, Віньковецький р-н)",2014-12-08T00:00:00Z,"Женишковецька сільська рада (с. Женишківці, вул. Грушевського, 8 Віньковецький р-н, Хмельницька обл., тел. (03846) 2-46-45)",Спільного фінансування (утримання) суб’єктами співробітництва організацій комунальної форми власності – інфраструктурних об’єктів,2014-12-05,2019-12-04,1,с. Женишківці,Віньковецький,Хмельницька,Хмельницька Віньковецький с. Женишківці,Женишківці,6820683001,UA68040050000052367,Віньковецька
2,"Договір про співробітництво територіальних громад у формі спільного фінансування (утримання) місцевої пожежної охорони (Хмельницька область, Віньковецький р-н)",2014-12-08T00:00:00Z,"Женишковецька сільська рада (с. Женишківці, вул. Грушевського, 8 Віньковецький р-н, Хмельницька обл., тел. (03846) 2-46-45)",Спільного фінансування (утримання) суб’єктами співробітництва організацій комунальної форми власності – інфраструктурних об’єктів,2014-12-05,2019-12-04,2,с. Нетечинці,Віньковецький,Хмельницька,Хмельницька Віньковецький с. Нетечинці,Нетечинці,6820685001,UA68040050000052367,Віньковецька
2,"Договір про співробітництво територіальних громад у формі спільного фінансування (утримання) місцевої пожежної охорони (Хмельницька область, Віньковецький р-н)",2014-12-08T00:00:00Z,"Женишковецька сільська рада (с. Женишківці, вул. Грушевського, 8 Віньковецький р-н, Хмельницька обл., тел. (03846) 2-46-45)",Спільного фінансування (утримання) суб’єктами співробітництва організацій комунальної форми власності – інфраструктурних об’єктів,2014-12-05,2019-12-04,3,с. Дашківці,Віньковецький,Хмельницька,Хмельницька Віньковецький с. Дашківці,Дашківці,6820682501,UA68040050000052367,Віньковецька
2,"Договір про співробітництво територіальних громад у формі спільного фінансування (утримання) місцевої пожежної охорони (Хмельницька область, Віньковецький р-н)",2014-12-08T00:00:00Z,"Женишковецька сільська рада (с. Женишківці, вул. Грушевського, 8 Віньковецький р-н, Хмельницька обл., тел. (03846) 2-46-45)",Спільного фінансування (утримання) суб’єктами співробітництва організацій комунальної форми власності – інфраструктурних об’єктів,2014-12-05,2019-12-04,4,с. Осламів,Віньковецький,Хмельницька,Хмельницька Віньковецький с. Осламів,Осламів,6820685501,UA68040050000052367,Віньковецька
