hromada_code,passangers_2021
UA01020230000086125,11082
UA01020250000083187,1298
UA01020330000026857,14170
UA01040090000079381,23471
UA01040750000059611,6901
UA01060130000083087,17665
UA01060290000012729,131644
UA01060390000046603,8364
UA01060470000074569,611
UA01120030000034644,129874
UA01120210000098819,6634
UA01120490000019004,8097
UA01140030000079824,555
UA01140070000018308,32027
UA01160150000023108,133
UA01160250000058686,8750
UA01180450000076517,2209
UA05020030000031457,670569
UA05020050000066991,10676
UA05020070000010139,5043
UA05020090000067118,3887
UA05020110000052014,276
UA05020130000056031,7874
UA05020190000015755,3561
UA05040030000050131,10350
UA05040090000093950,873
UA05040130000025322,804
UA05040190000039450,100309
UA05040230000017028,164
UA05040270000051651,8076
UA05060010000053179,4232
UA05060050000058111,115511
UA05060070000012952,441
UA05060150000094411,68732
UA05080030000089348,1103
UA05080050000023603,6247
UA05080070000010150,580
UA05080090000089922,165661
UA05080130000024964,12769
UA05100030000051497,46651
UA05100070000035159,16456
UA05100090000029847,9121
UA05100150000050790,172
UA05120010000076685,7910
UA05120050000063063,194
UA05120070000075759,1220
UA05120090000060589,103679
UA05120170000013778,1969
UA07020010000096841,7049
UA07020070000082628,2203
UA07040030000028082,8146
UA07040050000080830,4048
UA07040090000043197,128708
UA07060070000063773,813
UA07060190000036342,112109
UA07060250000039902,51773
UA07060310000037369,25849
UA07060430000041345,922
UA07060450000051170,642
UA07080110000043895,9718
UA07080170000013585,148484
UA07080190000072811,588
UA07080250000053335,4203
UA12020010000033698,979499
UA12020150000050274,887
UA12040010000018960,1406
UA12040030000066040,5764
UA12040050000057182,1681
UA12040090000029346,16220
UA12040130000037856,558
UA12040150000015189,129096
UA12040210000039759,502761
UA12060010000090992,21799
UA12060110000015305,127
UA12060170000091033,338314
UA12060190000043514,532
UA12060250000064393,2012059
UA12080010000029838,14558
UA12080030000022466,246
UA12080050000062712,44907
UA12080090000039979,11822
UA12120070000057518,52129
UA12140010000024967,763
UA12140030000091432,417
UA12140070000025486,2211
UA12140130000052990,5704
UA12140150000054570,5799
UA12140250000015858,539
UA12140310000078816,23633
UA14020010000088496,22669
UA14020070000070354,3657
UA14040030000025138,46319
UA14040150000099558,3750
UA14060070000066382,12647
UA14120030000057882,26553
UA14120090000098500,123789
UA14120170000011133,10632
UA14120190000021407,4359
UA14120210000056793,108830
UA14140050000020560,207293
UA14160010000086090,14102
UA14160150000038750,10541
UA14160170000023385,2852
UA14160210000011148,83806
UA18020010000059904,2585
UA18020030000035625,42503
UA18020050000058053,3617
UA18040010000031446,148
UA18040150000019024,1698
UA18040170000089964,10844
UA18040190000029215,63396
UA18040250000068141,5286
UA18040310000093693,3228
UA18040330000027310,3322
UA18040350000040746,5730
UA18040390000055900,9926
UA18040470000074046,693
UA18040490000014752,204
UA18040590000064402,772
UA18040610000049084,5204
UA18060010000047628,947
UA18060090000061708,60742
UA18060130000061781,2440
UA18060150000038188,1152
UA18060170000069581,6334
UA18060190000071101,4744
UA18060210000083283,3567
UA18080030000019784,1652
UA18080110000095378,878
UA18080150000022496,15630
UA21020010000055068,4597
UA21020110000091104,10682
UA21020150000043098,3077
UA21020170000069101,144
UA21040050000032164,67811
UA21040150000092428,181712
UA21040230000091606,68989
UA21040250000010914,8289
UA21060050000029937,27807
UA21060070000049340,42289
UA21080030000084057,2136
UA21080110000054940,78093
UA21080130000093757,1586
UA21080150000014443,8084
UA21100030000089881,413
UA21100090000012128,2073
UA21100130000055002,3052
UA21100230000083101,179822
UA21100270000015047,9984
UA21120250000077532,17084
UA23020050000046501,170862
UA23020090000069977,174
UA23020150000063371,3446
UA23060070000082704,3800
UA23060310000081443,117
UA23080070000068953,127581
UA23100090000029171,3042
UA23100150000023366,1715
UA23100170000031289,5173
UA23100190000020018,1108
UA23100270000073418,11320
UA26040050000080752,191
UA26040070000065724,1539
UA26040090000025932,1958
UA26040190000081578,431647
UA26060010000037638,241
UA26060170000091466,1716
UA26060230000053464,192
UA26080010000036750,517
UA26080050000081474,672
UA26080070000092582,50212
UA26080210000049380,3048
UA26080230000035462,5655
UA26120010000096774,94597
UA26120030000018265,561
UA26120070000067596,4362
UA26120130000088448,270
UA26120150000021671,79738
UA32020190000084133,264
UA32040010000010116,12501
UA32060050000030591,34786
UA32080130000056481,1037
UA32100130000093505,4524
UA32120030000030458,5307
UA32140030000074165,6784
UA32140150000040954,44992
UA35040110000055821,20608
UA35040130000021732,98064
UA35040190000012514,2023
UA35040210000014072,102112
UA35040230000015609,1407
UA35040250000048915,10026
UA35040310000035890,2180
UA35060070000071148,7457
UA35060090000091976,3430
UA35060130000087718,2896
UA35060150000073710,1212
UA35060190000079777,17986
UA35080050000038829,407
UA35080070000016791,197
UA35080150000074379,3830
UA44040010000091230,409346
UA44100030000094890,323
UA44100050000027880,3275
UA44100090000087782,261053
UA44120050000066819,143896
UA44120070000073915,5565
UA46020030000019252,15208
UA46020090000057315,128831
UA46040070000032075,11347
UA46040130000035029,138
UA46060090000017373,275081
UA46060190000038354,227
UA46080030000048662,2373
UA46080130000077112,21934
UA46100130000048262,692
UA46100190000081766,16258
UA46100210000027970,72975
UA46100230000047305,80063
UA46100270000094052,24007
UA46120090000051307,474
UA46120110000062257,2015
UA46120130000026331,6372
UA46140110000063568,7480
UA48020010000091496,5007
UA48020130000080862,5218
UA48020150000051082,12415
UA48040050000011284,3179
UA48040070000056126,33670
UA48040170000057262,232288
UA48040190000026236,354
UA48040230000012964,6870000
UA48040250000044166,23068
UA48060170000025778,924
UA48080010000048763,535
UA48080050000053070,826
UA51040010000016896,21291
UA51040050000073907,32110
UA51040070000074000,10683
UA51040190000058077,2972
UA51060010000033212,5109
UA51060190000067242,636
UA51080030000048246,33305
UA51080110000079212,633
UA51100070000063635,10130
UA51100270000073549,1612102
UA51120030000075494,744
UA51120090000035170,29984
UA51120130000064324,750
UA51120190000044451,84787
UA51140010000090773,1222
UA51140130000082333,18191
UA53020010000035494,1026
UA53020110000092487,72880
UA53020210000023587,131
UA53040010000091190,22548
UA53040030000088898,23572
UA53040110000034949,661
UA53060010000060316,2035
UA53060110000084138,558
UA53060230000098362,81685
UA53060270000016329,2512
UA53060330000036503,993
UA53080330000062155,237
UA53080390000027656,300
UA56020010000027956,1430
UA56020030000068439,1273
UA56020150000079107,9819
UA56040110000061997,31202
UA56040290000025511,17561
UA56060250000052338,31992
UA56060290000044465,1669
UA56060450000083945,9484
UA56060470000086729,136873
UA56080090000098391,1349
UA56080150000069525,1486
UA59020030000072865,1594
UA59020050000012539,281
UA59020070000032449,224658
UA59020090000085438,38872
UA59020130000060377,737
UA59020150000078955,29806
UA59040070000045520,4251
UA59080070000062635,10053
UA59080270000073662,127126
UA59100170000093676,84269
UA59100190000010734,22550
UA61040170000086062,998
UA61040350000078247,11128
UA61040470000038207,2004
UA61040490000035010,342822
UA61060170000051011,3415
UA61060250000062700,879
UA61060410000092242,847
UA61060430000094264,6711
UA63020010000079018,3969
UA63040090000021240,6242
UA63060030000041642,1727
UA63060050000033240,7070
UA63060090000041888,2202
UA63080090000067457,19003
UA63100090000052019,1575
UA63120270000028556,1309776
UA63140170000087785,26864
UA65040010000061104,75664
UA65100150000057191,438772
UA68020050000040518,4811
UA68020110000071202,66614
UA68040050000052367,45927
UA68040070000035730,227
UA68040090000087566,29010
UA68040210000089917,863
UA68040390000011141,887
UA68040430000052699,205
UA68040470000053519,3635
UA68040530000044109,1804
UA68060150000029549,4773
UA68060170000075276,36364
UA68060210000095851,16910
UA68060230000028195,958
UA68060290000039941,256
UA68060330000029010,77533
UA71020290000032540,943
UA71020330000027449,786
UA71040030000055285,907
UA71040070000034468,3149
UA71040090000047664,3928
UA71060210000032972,534
UA71080130000078619,4849
UA71080390000078978,182797
UA71080430000025181,1763
UA73040030000042378,4606
UA74040030000093042,126373
UA74040050000013413,46130
UA74040170000037628,5678
UA74040250000063494,249775
UA74040290000072674,44071
UA74040310000039217,18564
UA74100210000053397,5296
UA74100230000068041,187
UA74100390000073425,29748
