hromada_code,hromada_name,total_population_2022,urban_population_2022,urban_pct
UA05020010000053508,Агрономічна,9361,0,0
UA05020030000031457,Вінницька,387439,371004,0.9575804191111374
UA05020050000066991,Вороновицька,17127,6246,0.3646873357856017
UA05020070000010139,Гніванська,18446,12191,0.6609020925946004
UA05020090000067118,Іллінецька,21123,11095,0.525256829048904
UA05020110000052014,Липовецька,20302,7958,0.3919810856073293
UA05020130000056031,Літинська,21124,6547,0.3099318310925961
UA05020150000074651,Лука-Мелешківська,11272,0,0
UA05020170000049432,Немирівська,27959,11421,0.40849100468543226
UA05020190000015755,Оратівська,18365,2694,0.14669207732099102
UA05020210000033427,Погребищенська,27074,9209,0.3401418334933885
UA05020230000029909,Стрижавська,19146,9000,0.4700720777185835
UA05020250000055470,Сутисківська,6623,5877,0.8873622225577533
UA05020270000044358,Тиврівська,10978,3879,0.3533430497358353
UA05020290000092626,Турбівська,15256,6084,0.39879391714735185
UA05020310000080026,Якушинецька,16371,0,0
UA05040010000022470,Бершадська,42017,12205,0.29047766380274653
UA05040030000050131,Гайсинська,43573,25698,0.5897688935808872
UA05040050000080930,Дашівська,14273,3762,0.2635745813774259
UA05040070000093188,Джулинська,12553,0,0
UA05040090000093950,Краснопільська,7466,0,0
UA05040110000042036,Кунківська,4064,0,0
UA05040130000025322,Ладижинська,24594,22459,0.9131902089940636
UA05040150000077146,Ободівська,9636,0,0
UA05040170000093514,Ольгопільська,6094,0,0
UA05040190000039450,Райгородська,7035,2155,0.30632551528073915
UA05040210000068217,Соболівська,7734,0,0
UA05040230000017028,Теплицька,16893,6076,0.35967560528029363
UA05040250000027965,Тростянецька,23487,7257,0.30897943543236683
UA05040270000051651,Чечельницька,13228,4785,0.3617326882370729
UA05060010000053179,Барська,39667,0,0
UA05060030000026125,Джуринська,12609,0,0
UA05060050000058111,Жмеринська,48271,38136,0.7900395682708045
UA05060070000012952,Копайгородська,7825,1206,0.15412140575079872
UA05060090000058521,Мурафська,11380,0,0
UA05060110000027268,Северинівська,7708,0,0
UA05060130000030729,Станіславчицька,7436,0,0
UA05060150000094411,Шаргородська,24017,6982,0.2907107465545239
UA05080010000038400,Бабчинецька,5237,0,0
UA05080030000089348,Вендичанська,13557,3652,0.2693811315187726
UA05080050000023603,Могилів-Подільська,42154,29925,0.7098970441713717
UA05080070000010150,Мурованокуриловецька,20403,5632,0.27603783757290595
UA05080090000089922,Чернівецька,15196,2483,0.1633982627007107
UA05080110000056824,Ямпільська,36670,10679,0.29121898009271885
UA05080130000024964,Яришівська,6611,0,0
UA05100010000023453,Брацлавська,9439,4872,0.5161563724970866
