"vpo_thsd","new_population_thsd","hromada_code"
-3.4,4,"UA63140130000029212"
5.5,30.8,"UA63120150000086206"
-5,6.7,"UA63140150000093944"
-2.1,11.3,"UA63120230000080742"
9.8,31.3,"UA63120170000093573"
-2.7,10.5,"UA63120130000010762"
2.7,16.7,"UA63060010000015783"
-6.9,16.8,"UA63020050000045982"
-1.8,6.5,"UA63040130000098894"
3.7,10.1,"UA63020070000090466"
2,13,"UA63060070000031032"
-1.5,7.4,"UA63140050000096783"
-3.5,10.9,"UA63080010000040281"
5.6,38.1,"UA63120210000075842"
6.4,15.5,"UA63060110000043554"
-3.5,5.2,"UA63120290000021734"
-2.3,85.4,"UA63100050000079487"
-8.6,39.5,"UA63040090000021240"
1.6,8.5,"UA63100070000048302"
-1.7,20.5,"UA63040070000092606"
-1.6,4.3,"UA63080070000080622"
-2.9,6.6,"UA63080110000021737"
-1.8,3.3,"UA63080130000077600"
-10.8,33.8,"UA63040010000010092"
-4.3,14.8,"UA63040030000052515"
6.7,30.1,"UA63120010000021682"
1.1,6.6,"UA63100010000016136"
1.6,18.7,"UA63100030000050119"
12.7,49.1,"UA63020010000079018"
-3.3,12.1,"UA63040050000042831"
19.8,49.6,"UA63020030000094096"
8.6,35.3,"UA63120030000035245"
-3.9,8.2,"UA63120050000019867"
-1.6,4.3,"UA63080030000019649"
-13.3,22.4,"UA63140010000049419"
-6.3,9.5,"UA63080050000048455"
-22.4,20.4,"UA63120070000018741"
15.5,56,"UA63140030000091352"
5.1,24.7,"UA63060030000041642"
7,37.7,"UA63060050000033240"
11.3,37.3,"UA63020090000096294"
-0.5,3.8,"UA63040110000053205"
-17.1,37.4,"UA63080090000067457"
-4.5,8.7,"UA63120090000046130"
9.6,36.3,"UA63120110000043456"
4.7,21,"UA63140070000015310"
5.2,35.3,"UA63100090000052019"
-1.5,7.8,"UA63140090000052369"
4,17.7,"UA63120190000093717"
-2.2,8,"UA63040150000053402"
4.4,23.9,"UA63060090000041888"
2.6,29,"UA63140110000087562"
4.8,39.8,"UA63120250000081463"
-289.2,1131.9,"UA63120270000028556"
-6,32,"UA63140170000087785"
-3.2,15.8,"UA63080150000094794"
-1.5,1.4,"UA65020110000081240"
-1,5.2,"UA65060010000033335"
-3,13.7,"UA65080070000011930"
-0.8,3,"UA65080110000032706"
-3.3,13.7,"UA65060290000041992"
-1.4,6.7,"UA65060090000037720"
-0.9,6,"UA65100030000028786"
-0.5,4.3,"UA65060190000091058"
-0.6,3,"UA65100090000097337"
-0.7,4.1,"UA65060230000076026"
-1.1,4.2,"UA65060270000020124"
-1.6,10.3,"UA65100050000017921"
-3.5,11.2,"UA65060070000037346"
-3.8,6.1,"UA65100130000084882"
-7.3,14.3,"UA65100010000048953"
-1.2,2.4,"UA65020030000094118"
-7.8,3,"UA65020070000029027"
-2.1,8.1,"UA65080010000062554"
-1.3,6.2,"UA65080170000067222"
-0.9,3,"UA65060130000026961"
-2,10.8,"UA65040030000056170"
-1.4,10.8,"UA65100190000073217"
-1.2,6.3,"UA65060150000054200"
-0.7,3.8,"UA65080050000077041"
-1.7,4,"UA65020190000013272"
-13.7,45.2,"UA65060170000032937"
-6.3,27.3,"UA65080030000058401"
-3,3.6,"UA65020130000012731"
-8.6,9.1,"UA65020010000060480"
-2.2,9.4,"UA65060030000075716"
-8.5,7.4,"UA65020050000086746"
-2.3,8.6,"UA65060050000022914"
-3.9,53.1,"UA65040010000061104"
-3.9,9.8,"UA65100070000064512"
-1.3,2.1,"UA65020090000016354"
-8.1,34.2,"UA65060110000017055"
-8.1,34.2,"UA65060110000017055"
-1.2,5.2,"UA65080090000034188"
-2.5,12,"UA65040050000029613"
-7,5.1,"UA65020150000047137"
-1.1,4.8,"UA65080130000090391"
-3.1,2.8,"UA65020170000056973"
-3.2,30.6,"UA65040070000086673"
-9.5,28.4,"UA65100110000015344"
-0.5,3.3,"UA65060210000049771"
-6.5,27.7,"UA65080150000042499"
-3.3,13.5,"UA65060250000073379"
-4.4,5.2,"UA65020210000085773"
-92.5,225.2,"UA65100150000057191"
-5.2,9.6,"UA65100170000014054"
0.9,9.1,"UA68060010000056690"
0.7,8.5,"UA68040030000027335"
3.6,37.3,"UA68040090000087566"
0.5,6.5,"UA68060050000037587"
0.2,7.7,"UA68040110000011931"
1.3,13.8,"UA68020030000032574"
3.7,39.2,"UA68020050000040518"
1.2,10.9,"UA68020170000033495"
0.4,4.6,"UA68020130000052994"
2.2,20.6,"UA68040230000081901"
0.6,8.2,"UA68040250000053378"
0.7,7.2,"UA68020150000089666"
1.1,8.3,"UA68040270000072985"
0.4,6.3,"UA68040310000052042"
2.4,28.3,"UA68020190000052031"
4,36.1,"UA68060210000095851"
0.9,8.8,"UA68060230000028195"
1.1,12.3,"UA68040330000086970"
1.6,11.3,"UA68040350000083350"
2.9,21.3,"UA68040430000052699"
0.8,13.1,"UA68040490000093353"
2.6,29.4,"UA68020290000026103"
0.2,2.8,"UA68020010000017180"
0.6,6.9,"UA68060130000034298"
1.3,13.7,"UA68060290000039941"
3.4,37.7,"UA68040130000024471"
1.3,13.3,"UA68020230000069135"
1.1,11.2,"UA68040010000025276"
2.6,31.8,"UA68040210000089917"
0.4,4.3,"UA68040370000082743"
1.3,8.2,"UA68060070000048275"
0.4,6.4,"UA68040070000035730"
0.7,6.8,"UA68020250000080044"
1,8.9,"UA68020070000084437"
1.1,7.9,"UA68020270000040572"
0.3,3.6,"UA68060110000046608"
1.6,20.3,"UA68060030000077318"
0.7,8.6,"UA68060310000022172"
0.3,6.2,"UA68060350000035460"
3.1,38.6,"UA68060270000042174"
2,39.5,"UA68060170000075276"
0.6,7.7,"UA68060190000075749"
0.2,4.4,"UA68040170000061140"
0.4,5.2,"UA68060250000078635"
4.2,55.1,"UA68040390000011141"
1.5,19.8,"UA68040050000052367"
2.1,25,"UA68040150000077185"
0.6,7.7,"UA68020090000037732"
0.3,4,"UA68040190000021840"
3.3,32.2,"UA68060090000093924"
