Область,Район,Назва,"Категорія (міська, сільська, селищна)",В якому році остаточно сформована?,Кількість населених пунктів,Площа,Населення (2021)
Вінницька область,Вінницький район,Іллінецька територіальна громада,міська,2020,30,469.3,21374
Вінницька область,Вінницький район,Агрономічна територіальна громада,сільська,2020,6,86.1,9304
Вінницька область,Вінницький район,Вороновицька територіальна громада,селищна,2020,21,373.5,17230
Вінницька область,Вінницький район,Вінницька територіальна громада,міська,2020,9,256.6,388204
Вінницька область,Вінницький район,Гніванська територіальна громада,міська,2020,11,244.5,18697
Вінницька область,Вінницький район,Липовецька територіальна громада,міська,2020,39,614.8,20669
Вінницька область,Вінницький район,Лука-Мелешківська територіальна громада,сільська,2020,13,166.2,11239
Вінницька область,Вінницький район,Літинська територіальна громада,селищна,2020,36,587.4,21449
Вінницька область,Вінницький район,Немирівська територіальна громада,міська,2020,53,676.9,28472
Вінницька область,Вінницький район,Оратівська територіальна громада,селищна,2020,52,837.4,18782
Вінницька область,Вінницький район,Погребищенська територіальна громада,міська,2020,60,1202.3,27731
Вінницька область,Вінницький район,Стрижавська територіальна громада,селищна,2020,13,240.3,19296
Вінницька область,Вінницький район,Сутисківська територіальна громада,селищна,2020,3,63.2,6695
Вінницька область,Вінницький район,Тиврівська територіальна громада,селищна,2020,26,420.4,11128
Вінницька область,Вінницький район,Турбівська територіальна громада,селищна,2020,22,391.5,15507
Вінницька область,Вінницький район,Якушинецька територіальна громада,сільська,2020,17,279.1,16349
Вінницька область,Гайсинський район,Бершадська територіальна громада,міська,2020,29,870.5,42953
Вінницька область,Гайсинський район,Гайсинська територіальна громада,міська,2020,43,660.4,44192
Вінницька область,Гайсинський район,Дашівська територіальна громада,селищна,2020,24,446.3,14447
Вінницька область,Гайсинський район,Джулинська територіальна громада,сільська,2020,16,416.1,12834
Вінницька область,Гайсинський район,Краснопільська територіальна громада,сільська,2020,13,326.9,7647
Вінницька область,Гайсинський район,Кунківська територіальна громада,сільська,2020,11,175.4,4161
Вінницька область,Гайсинський район,Ладижинська територіальна громада,міська,2020,6,123.8,24771
Вінницька область,Гайсинський район,Ободівська територіальна громада,сільська,2020,10,326.7,9814
Вінницька область,Гайсинський район,Ольгопільська територіальна громада,сільська,2020,5,234.7,6224
Вінницька область,Гайсинський район,Райгородська територіальна громада,сільська,2020,20,292.4,7172
Вінницька область,Гайсинський район,Соболівська територіальна громада,сільська,2020,12,292.8,7923
Вінницька область,Гайсинський район,Теплицька територіальна громада,селищна,2020,31,460,17251
Вінницька область,Гайсинський район,Тростянецька територіальна громада,селищна,2020,26,530.4,23938
Вінницька область,Гайсинський район,Чечельницька територіальна громада,селищна,2020,17,524.8,13476
Вінницька область,Жмеринський район,Барська територіальна громада,міська,2020,70,766.4,40310
Вінницька область,Жмеринський район,Джуринська територіальна громада,сільська,2020,16,337.1,12813
Вінницька область,Жмеринський район,Жмеринська територіальна громада,міська,2020,34,531.7,48952
Вінницька область,Жмеринський район,Копайгородська територіальна громада,селищна,2020,21,307.1,7961
Вінницька область,Жмеринський район,Мурафська територіальна громада,сільська,2020,8,191.6,11560
Вінницька область,Жмеринський район,Северинівська територіальна громада,сільська,2020,19,223.1,7922
Вінницька область,Жмеринський район,Станіславчицька територіальна громада,сільська,2020,16,301,7649
Вінницька область,Жмеринський район,Шаргородська територіальна громада,міська,2020,32,482.1,24377
Вінницька область,Могилів-Подільський район,Бабчинецька територіальна громада,сільська,2020,13,207.5,5354
Вінницька область,Могилів-Подільський район,Вендичанська територіальна громада,селищна,2020,25,436.4,13871
Вінницька область,Могилів-Подільський район,Могилів-Подільська територіальна громада,міська,2020,26,373.8,42726
Вінницька область,Могилів-Подільський район,Мурованокуриловецька територіальна громада,селищна,2020,50,738.8,20873
Вінницька область,Могилів-Подільський район,Чернівецька територіальна громада,селищна,2020,30,426,15561
Вінницька область,Могилів-Подільський район,Ямпільська територіальна громада,міська,2020,38,787.9,37290
Вінницька область,Могилів-Подільський район,Яришівська територіальна громада,сільська,2020,13,250.6,6781
Вінницька область,Тульчинський район,Брацлавська територіальна громада,селищна,2020,19,260.4,9655
Вінницька область,Тульчинський район,Вапнярська територіальна громада,селищна,2020,6,112.2,9500
Вінницька область,Тульчинський район,Городківська територіальна громада,сільська,2020,25,463.5,11662
Вінницька область,Тульчинський район,Крижопільська територіальна громада,селищна,2020,19,421.9,19974
Вінницька область,Тульчинський район,Піщанська територіальна громада,селищна,2020,14,335.9,13746
Вінницька область,Тульчинський район,Студенянська територіальна громада,сільська,2020,15,259.4,5911
Вінницька область,Тульчинський район,Томашпільська територіальна громада,селищна,2020,28,666.6,21930
Вінницька область,Тульчинський район,Тульчинська територіальна громада,міська,2020,36,860.4,43819
Вінницька область,Тульчинський район,Шпиківська територіальна громада,селищна,2020,27,478.9,16084
Вінницька область,Хмільницький район,Іванівська територіальна громада,сільська,2020,14,311.6,13424
Вінницька область,Хмільницький район,Війтівецька територіальна громада,сільська,2020,15,167.5,5490
Вінницька область,Хмільницький район,Глуховецька територіальна громада,селищна,2020,17,262.9,11215
Вінницька область,Хмільницький район,Калинівська територіальна громада,міська,2020,49,844.1,45257
Вінницька область,Хмільницький район,Козятинська територіальна громада,міська,2020,16,234.5,32922
Вінницька область,Хмільницький район,Махнівська територіальна громада,сільська,2020,20,311.4,7929
Вінницька область,Хмільницький район,Самгородоцька територіальна громада,сільська,2020,20,323.1,8433
Вінницька область,Хмільницький район,Уланівська територіальна громада,сільська,2020,36,611.1,15634
Вінницька область,Хмільницький район,Хмільницька територіальна громада,міська,2020,42,635.8,43609
Волинська область,Володимир-Волинський район,Іваничівська територіальна громада,селищна,2020,9,99.2,9415
Волинська область,Володимир-Волинський район,Володимир-Волинська територіальна громада,міська,2020,9,104.2,42227
Волинська область,Володимир-Волинський район,Затурцівська територіальна громада,сільська,2020,26,366.3,8121
Волинська область,Володимир-Волинський район,Зимнівська територіальна громада,сільська,2020,30,309.1,8590
Волинська область,Володимир-Волинський район,Литовезька територіальна громада,сільська,2020,6,124,4094
