Регіон,Ройон/Місто обласного значення,Місцева рада,КОАТУУ,Громада,Код громади,Примітка
Автономна Республіка Крим,м.Сімферополь,Сімферопольська міська рада,110100000,NA,NA,
Автономна Республіка Крим,м.Сімферополь,"Гресівська селищна рада, (Залізничний район, м Сімферополь)",110165600,NA,NA,
Автономна Республіка Крим,м.Алушта,Алуштинська міська рада,110300000,NA,NA,
Автономна Республіка Крим,м.Алушта,"Партенітська селищна рада, (м Алушта)",110345400,NA,NA,
Автономна Республіка Крим,м.Алушта,"Ізобільненська сільська рада, (м Алушта)",110390900,NA,NA,
Автономна Республіка Крим,м.Алушта,"Лучистівська сільська рада, (м Алушта)",110391400,NA,NA,
Автономна Республіка Крим,м.Алушта,"Маломаяцька сільська рада, (м Алушта)",110391800,NA,NA,
Автономна Республіка Крим,м.Алушта,"Малоріченська сільська рада, (м Алушта)",110392100,NA,NA,
Автономна Республіка Крим,м.Алушта,"Привітненська сільська рада, (м Алушта)",110393000,NA,NA,
Автономна Республіка Крим,м.Джанкой,Джанкойська міська рада,110600000,NA,NA,
Автономна Республіка Крим,м.Євпаторія,Євпаторійська міська рада,110900000,NA,NA,
Автономна Республіка Крим,м.Євпаторія,"Заозерненська селищна рада, (м Євпаторія)",110945300,NA,NA,
Автономна Республіка Крим,м.Євпаторія,"Мирнівська селищна рада, (м Євпаторія)",110945600,NA,NA,
Автономна Республіка Крим,м.Євпаторія,"Новоозернівська селищна рада, (м Євпаторія)",110945800,NA,NA,
Автономна Республіка Крим,м.Керч,Керченська міська рада,111200000,NA,NA,
Автономна Республіка Крим,м.Красноперекопськ,Красноперекопська міська рада,111300000,NA,NA,
Автономна Республіка Крим,м.Саки,Сакська міська рада,111400000,NA,NA,
Автономна Республіка Крим,м.Армянськ,Армянська міська рада,111500000,NA,NA,
Автономна Республіка Крим,м.Армянськ,"Суворовська сільська рада, (м Армянськ)",111590100,NA,NA,
Автономна Республіка Крим,м.Феодосія,Феодосійська міська рада,111600000,NA,NA,
Автономна Республіка Крим,м.Феодосія,"Орджонікідзевська селищна рада, (м Феодосія)",111645400,NA,NA,
Автономна Республіка Крим,м.Феодосія,"Коктебельська селищна рада, (м Феодосія)",111645700,NA,NA,
Автономна Республіка Крим,м.Феодосія,"Приморська селищна рада, (м Феодосія)",111646000,NA,NA,
Автономна Республіка Крим,м.Феодосія,"Щебетовська селищна рада, (м Феодосія)",111646500,NA,NA,
Автономна Республіка Крим,м.Феодосія,"Берегова сільська рада, (м Феодосія)",111690300,NA,NA,
Автономна Республіка Крим,м.Феодосія,"Насипнівська сільська рада, (м Феодосія)",111692900,NA,NA,
Автономна Республіка Крим,м.Судак,Судацька міська рада,111700000,NA,NA,
Автономна Республіка Крим,м.Судак,"Новосвітська селищна рада, (м Судак)",111745200,NA,NA,
Автономна Республіка Крим,м.Судак,"Веселівська сільська рада, (м Судак)",111790200,NA,NA,
Автономна Республіка Крим,м.Судак,"Грушівська сільська рада, (м Судак",111790400,NA,NA,
Автономна Республіка Крим,м.Судак,"Дачнівська сільська рада, (м Судак)",111790700,NA,NA,
Автономна Республіка Крим,м.Судак,"Міжріченська сільська рада, (м Судак)",111791400,NA,NA,
Автономна Республіка Крим,м.Судак,"Морська сільська рада, (м Судак)",111791600,NA,NA,
Автономна Республіка Крим,м.Судак,"Сонячнодолинська сільська рада, (м Судак)",111792300,NA,NA,
Автономна Республіка Крим,м.Ялта,Ялтинська міська рада,111900000,NA,NA,
Автономна Республіка Крим,м.Ялта,"Гаспринська селищна рада, (м Ялта)",111946200,NA,NA,
Автономна Республіка Крим,м.Ялта,"Гурзуфська селищна рада, (м Ялта)",111946800,NA,NA,
Автономна Республіка Крим,м.Ялта,"Кореїзька селищна рада, (м Ялта)",111947100,NA,NA,
Автономна Республіка Крим,м.Ялта,"Лівадійська селищна рада, (м Ялта)",111947900,NA,NA,
