Перший рівень,Другий рівень,Третій рівень,Четвертий рівень,Категорія ,Назва об'єкта українською мовою
0100000000,,,,,АВТОНОМНА РЕСПУБЛІКА КРИМ/М.СІМФЕРОПОЛЬ
0100000000,0110000000,,,,МІСТА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ
0100000000,0110100000,,,,СІМФЕРОПОЛЬ
0100000000,0110100000,0110130000,,,РАЙОНИ М.СІМФЕРОПОЛЯ
0100000000,0110100000,0110136300,,Р,ЗАЛІЗНИЧНИЙ
0100000000,0110100000,0110136600,,Р,КИЇВСЬКИЙ
0100000000,0110100000,0110136900,,Р,ЦЕНТРАЛЬНИЙ
0100000000,0110100000,0110165000,,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ ЗАЛІЗНИЧНІЙ РАЙРАДІ М.СІМФЕРОПОЛЯ"
0100000000,0110100000,0110165300,,Т,АЕРОФЛОТСЬКИЙ
0100000000,0110100000,0110165600,,Т,ГРЕСІВСЬКИЙ
0100000000,0110100000,0110165600,0110165601,Щ,БІТУМНЕ
0100000000,0110100000,0110165800,,Т,КОМСОМОЛЬСЬКЕ
0100000000,0110100000,0110166000,,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ КИЇВСЬКІЙ РАЙРАДІ М.СІМФЕРОПОЛЯ"
0100000000,0110100000,0110166200,,Т,АГРАРНЕ
0100000000,0110300000,,,М,АЛУШТА
0100000000,0110300000,0110345000,,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ АЛУШТИНСЬКІЙ МІСЬКРАДІ"
0100000000,0110300000,0110345400,,Т,ПАРТЕНІТ
0100000000,0110300000,0110390000,,,"СІЛЬРАДИ, ПІДПОРЯДКОВАНІ АЛУШТИНСЬКІЙ МІСЬКРАДІ"
0100000000,0110300000,0110390900,,,ІЗОБІЛЬНЕНСЬКА/С.ІЗОБІЛЬНЕ
0100000000,0110300000,0110390900,0110390901,С,ІЗОБІЛЬНЕ
0100000000,0110300000,0110390900,0110390903,С,ВЕРХНЯ КУТУЗОВКА
0100000000,0110300000,0110390900,0110390905,С,НИЖНЯ КУТУЗОВКА
0100000000,0110300000,0110390900,0110390907,Щ,РОЗОВИЙ
0100000000,0110300000,0110391400,,,ЛУЧИСТІВСЬКА/С.ЛУЧИСТЕ
0100000000,0110300000,0110391400,0110391401,С,ЛУЧИСТЕ
0100000000,0110300000,0110391400,0110391403,Щ,ЛАВАНДА
0100000000,0110300000,0110391400,0110391405,Щ,СЕМИДВІР'Я
0100000000,0110300000,0110391800,,,МАЛОМАЯЦЬКА/С.МАЛИЙ МАЯК
0100000000,0110300000,0110391800,0110391801,С,МАЛИЙ МАЯК
0100000000,0110300000,0110391800,0110391802,Щ,БОНДАРЕНКОВЕ
0100000000,0110300000,0110391800,0110391803,С,ВИНОГРАДНИЙ
0100000000,0110300000,0110391800,0110391805,С,ЗАПРУДНЕ
0100000000,0110300000,0110391800,0110391807,С,КИПАРИСНЕ
0100000000,0110300000,0110391800,0110391809,С,ЛАВРОВЕ
0100000000,0110300000,0110391800,0110391811,С,ЛАЗУРНЕ
0100000000,0110300000,0110391800,0110391813,С,НИЖНЄ ЗАПРУДНЕ
0100000000,0110300000,0110391800,0110391815,С,ПУШКІНЕ
0100000000,0110300000,0110391800,0110391817,Щ,УТЬОС
0100000000,0110300000,0110391800,0110391818,Щ,ЧАЙКА
0100000000,0110300000,0110392100,,,МАЛОРІЧЕНСЬКА/С.МАЛОРІЧЕНСЬКЕ
0100000000,0110300000,0110392100,0110392101,С,МАЛОРІЧЕНСЬКЕ
0100000000,0110300000,0110392100,0110392103,С,ГЕНЕРАЛЬСЬКЕ
0100000000,0110300000,0110392100,0110392105,С,РИБАЧЕ
0100000000,0110300000,0110392100,0110392107,С,СОНЯЧНОГІРСЬКЕ
