admin4_code,year,income_total,income_transfert,income_own,own_prop,own_pct,own_income_change,own_income_change_pct,own_prop_change,own_prop_change_pct
02501000000,2021,178804835.91,62006814,116798021.91,0.65,65.0%,NA,NA,NA,NA
02501000000,2022,247407288.5,68858757.73,178548530.76999998,0.72,72.0%,0.53,53%,0.06999999999999995,7%
02502000000,2021,20730048.68,10462622,10267426.68,0.5,50.0%,NA,NA,NA,NA
02502000000,2022,25355339.77,7827115,17528224.77,0.69,69.0%,0.71,71%,0.18999999999999995,19%
02503000000,2021,96125701.22,32883343.48,63242357.739999995,0.66,66.0%,NA,NA,NA,NA
02503000000,2022,93828023.92,29890071,63937952.92,0.68,68.0%,0.01,1%,0.020000000000000018,2%
02504000000,2021,39576088.53,16059854,23516234.53,0.59,59.0%,NA,NA,NA,NA
02504000000,2022,33786519.12,14668076.91,19118442.209999997,0.57,57.0%,-0.19,-19%,-0.020000000000000018,-2%
02505000000,2021,135806064.99,70046721.39,65759343.60000001,0.48,48.0%,NA,NA,NA,NA
02505000000,2022,164948248.7,69886011.78,95062236.91999999,0.58,58.0%,0.45,45%,0.09999999999999998,10%
02506000000,2021,108443458.28,40831274.11,67612184.17,0.62,62.0%,NA,NA,NA,NA
02506000000,2022,102705120.05,39040073.94,63665046.11,0.62,62.0%,-0.06,-6%,0,0%
02507000000,2021,148385309.56,56851227,91534082.56,0.62,62.0%,NA,NA,NA,NA
02507000000,2022,156309491.49,58605984,97703507.49000001,0.63,63.0%,0.07,7%,0.010000000000000009,1%
02508000000,2021,51515948.19,24807730,26708218.189999998,0.52,52.0%,NA,NA,NA,NA
02508000000,2022,55667664.67,26431931,29235733.67,0.53,53.0%,0.09,9%,0.010000000000000009,1%
02509000000,2021,49044245.84,29052066,19992179.840000004,0.41,41.0%,NA,NA,NA,NA
02509000000,2022,46237075.76,28460075.23,17777000.529999997,0.38,38.0%,-0.11,-11%,-0.02999999999999997,-3%
02510000000,2021,69732008.57000001,30783161,38948847.57000001,0.56,56.0%,NA,NA,NA,NA
02510000000,2022,69860891.91,29581104.75,40279787.16,0.58,58.0%,0.03,3%,0.019999999999999907,2%
02512000000,2021,81276761.31,38636430,42640331.31,0.52,52.0%,NA,NA,NA,NA
02512000000,2022,77599570.67,34323245.98,43276324.690000005,0.56,56.0%,0.01,1%,0.040000000000000036,4%
02513000000,2021,48691797.34,29977941.7,18713855.640000004,0.38,38.0%,NA,NA,NA,NA
02513000000,2022,47898127.58,29692406,18205721.58,0.38,38.0%,-0.03,-3%,0,0%
02514000000,2021,19885013.7,10711529.8,9173483.899999999,0.46,46.0%,NA,NA,NA,NA
02514000000,2022,17819666.75,9596887,8222779.75,0.46,46.0%,-0.1,-10%,0,0%
02515000000,2021,22434312.86,9554115,12880197.86,0.57,57.0%,NA,NA,NA,NA
02515000000,2022,23540181.94,9348341.56,14191840.38,0.6,60.0%,0.1,10%,0.030000000000000027,3%
02516000000,2021,48372950.27,30733604,17639346.270000003,0.36,36.0%,NA,NA,NA,NA
02516000000,2022,45236627.61,28437260.09,16799367.52,0.37,37.0%,-0.05,-5%,0.010000000000000009,1%
02519000000,2021,27344577.63,15982028,11362549.629999999,0.42,42.0%,NA,NA,NA,NA
02519000000,2022,23669729.47,14165791,9503938.469999999,0.4,40.0%,-0.16,-16%,-0.019999999999999962,-2%
02520000000,2021,26250023.77,17371353,8878670.77,0.34,34.0%,NA,NA,NA,NA
02520000000,2022,36122839.54,16567271,19555568.54,0.54,54.0%,1.2,120%,0.2,20%
02522000000,2021,40868509.46,27510695,13357814.46,0.33,33.0%,NA,NA,NA,NA
02522000000,2022,42719779.45,29121659.21,13598120.240000002,0.32,32.0%,0.02,2%,-0.010000000000000009,-1%
02523000000,2021,67035153.77,21287911,45747242.77,0.68,68.0%,NA,NA,NA,NA
02523000000,2022,70078152.38,24551640.93,45526511.449999996,0.65,65.0%,-0,0%,-0.030000000000000027,-3%
02524000000,2021,14844707.84,6342200,8502507.84,0.57,57.0%,NA,NA,NA,NA
02524000000,2022,28334186.77,5530796.69,22803390.08,0.8,80.0%,1.68,168%,0.2300000000000001,23%
02526000000,2021,47648718.57,22457412,25191306.57,0.53,53.0%,NA,NA,NA,NA
02526000000,2022,67770279.34,21129647.7,46640631.64,0.69,69.0%,0.85,85%,0.15999999999999992,16%
02527000000,2021,46230092.17,19588953.6,26641138.57,0.58,58.0%,NA,NA,NA,NA
02527000000,2022,40170107.99,19027853.74,21142254.250000004,0.53,53.0%,-0.21,-21%,-0.04999999999999993,-5%
02529000000,2021,26214550.43,14783150,11431400.43,0.44,44.0%,NA,NA,NA,NA
02529000000,2022,25412938.98,14216131,11196807.98,0.44,44.0%,-0.02,-2%,0,0%
