"","hromada_code","hromada_name","raion_code","raion_name","oblast_code","oblast_name","type","hromada_full_name","oblast_center","hromada_center_code","hromada_center","lat_center","lon_center","travel_time","n_settlements","area","distance_to_russia_belarus","distance_to_russia","distance_to_eu","mountain_hromada","near_seas","bordering_hromadas","hromadas_30km_from_border","hromadas_30km_russia_belarus","buffer_nat_15km","buffer_int_15km","occipied_before_2022","total_population_2022","urban_population_2022","urban_pct","budget_code","budget_name","oblast_name_en","region_en","region_code_en","income_total","income_transfert","income_military","income_pdfo","income_unified_tax","income_property_tax","income_excise_duty","income_corporate_tax","income_parking_fee","income_tourist_fee","income_eco_tax","income_non_tax","income_capital_proceedings","income_special_funds","income_rent","income_own","own_income_prop","transfert_prop","military_tax_prop","pdfo_prop","unified_tax_prop","property_tax_prop","excise_duty_prop","corporate_tax_own_prop","parking_fee_own_prop","tourist_fee_own_prop","eco_tax_own_prop","non_tax_own_prop","capital_proceedings_own_prop","special_funds_own_prop","excise_duty_own_prop","pdfo_own_prop","unified_tax_own_prop","property_tax_own_prop","rent_own_prop","own_income_no_mil_change_YoY_jan_feb","own_income_no_mil_change_YoY_mar_apr","own_income_no_mil_change_YoY_mar_may","own_income_no_mil_change_YoY_jun_aug","own_income_no_mil_change_YoY_jul_sep","own_income_no_mil_change_YoY_oct_jan","own_income_no_mil_change_YoY_oct_dec","own_income_no_mil_change_YoY_may_feb","own_income_no_mil_change_YoY_adapt","income_own_full_year","own_income_prop_full_year","recovery_month_distance","diversification_income_score","count_recovery","recovery_month_distance_2","own_income_change","own_prop_change","total_income_change","income_own_2022","income_total_2022","income_transfert_2022","dfrr_executed","dfrr_executed_20_21","turnout_2020","sum_osbb_2020","edem_total","edem_petitions","edem_consultations","edem_participatory_budget","edem_open_hromada","youth_councils","youth_centers","business_support_centers","creation_date","creation_year","time_before_24th","voluntary","war_zone_27_04_2022","war_zone_20_06_2022","war_zone_23_08_2022","war_zone_10_10_2022","Status_war_sept","Status_war_sept_ext","deoccupation_date","passangers_2021","total_declarations","female_declarations","male_declarations","female_pct_declarations","male_pct_declarations","urban_declarations","rural_declarations","urban_pct_declarations","rural_pct_declarations","youth_declarations","youth_pct_declarations","working_age_total_declarations","working_age_pct_declarations","declarations_pct","urban_declarations_pct","train_station","n_agreements","n_agreements_active","n_agreements_hromadas","n_agreements_hromadas_active"
"1","UA05020010000053508","Агрономічна","UA05020000000026686","Вінницький","UA05000000000010236","Вінницька","сільська","Агрономічна сільська громада",0,"UA05020010010058853","Агрономічне",49.1927696,28.3720314,13.9,6,86.1,248.52829548306,403.5402827934,152.590620608515,0,0,0,0,0,0,1,0,9361,0,0,"0254700000","Бюджет Агрономічної сільської територіальної громади","Vinnytsia","Center","C",89100.84679,39280.8803,1121.94555,26905.55418,13297.55818,4076.21749,1651.72952,0,0,0,3.32204,3778.57409,0,97.207,9.80399,49819.96649,0.5591,0.4409,0.0126,0.302,0.1492,0.0457,0.0185,0,0,0,1e-04,0.0758,0,0.002,0.0332,0.5401,0.2669,0.0818,2e-04,-2.12471916385282,-33.9731211043057,-28.777879846449,3.90963720172657,-7.61536779617608,-6.76053796833462,-17.2053647922572,-7.74088328264647,26.3577533081297,49819.96649,0.559141335743079,3,3764.8675,2,NA,0.02,0.0531999999999999,-0.07,50580.30506,82607.59956,32027.2945,5376.14854246819,0,0.46411889596603,8,2,1,1,0,0,0,0,0,2020-08-16,2020,556.916666666667,0,0,0,0,0,"not occupied","not occupied","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,2,2
"2","UA05020030000031457","Вінницька","UA05020000000026686","Вінницький","UA05000000000010236","Вінницька","міська","Вінницька міська громада",1,"UA05020030010063857","Вінниця",49.2320162,28.467975,0,9,256.6,243.529695811495,395.874065136438,160.584423598527,0,0,0,0,0,0,1,0,387439,371004,0.957580419111137,"0253600000","Бюджет Вінницької міської територіальної громади","Vinnytsia","Center","C",4909594.0307,941544.63882,211649.41385,2381707.60637,637865.40522,331875.23475,266744.58583,979.47712,0,1922.51698,2103.01418,252171.14643,81947.38345,10262.02455,470.997,3968049.39188,0.8082,0.1918,0.0431,0.4851,0.1299,0.0676,0.0543,2e-04,0,5e-04,5e-04,0.0636,0.0207,0.0026,0.0672,0.6002,0.1608,0.0836,1e-04,27.4299647754514,-11.3727570802836,-6.97154201200119,5.63222912366343,7.04931586791839,3.13036029329272,-1.03849514280935,3.72322096443309,18.422072948202,3968049.39188,0.808223524606625,10,4020.8223,2,NA,0.23,0.0429999999999999,0.17,4881485.07815,5735142.14024,853657.06209,862927.999416992,167129.78758017,0.314525147237226,656,3,1,1,1,0,1,4,16,2018-09-20,2018,1252.91666666667,1,0,0,0,0,"not occupied","not occupied","0",670569,395476,215979,179497,0.55,0.45,393110,2366,0.99,0.01,143042,0.36,290521,0.73,1.02074391065432,1.05958426324244,1,0,0,0,0
"3","UA05020050000066991","Вороновицька","UA05020000000026686","Вінницький","UA05000000000010236","Вінницька","селищна","Вороновицька селищна громада",0,"UA05020050010084898","Вороновиця",49.1117881,28.6889425,28.9,21,373.5,255.995286469173,397.557351039852,163.193829425156,0,0,0,0,0,0,1,0,17127,6246,0.364687335785602,"0250800000","Бюджет Вороновицької селищної територіальної громади","Vinnytsia","Center","C",126916.08737,53728.39489,417.62258,43737.47594,9905.69325,10582.28027,6254.35862,1.829,0,7.46277,70.12308,1351.30577,0,979.45536,297.70842,73187.69248,0.5767,0.4233,0.0033,0.3446,0.078,0.0834,0.0493,0,0,1e-04,0.001,0.0185,0,0.0134,0.0855,0.5976,0.1353,0.1446,0.0041,13.9257722886484,-16.0455312620512,-14.7484486939527,-3.1977524455524,-6.12116786925851,11.1298153678051,6.10169696748923,6.16302447925778,9.92436339279266,73187.69248,0.576662060709727,10,4041.7408,2,NA,0.08,0.00790000000000001,0.06,78705.40234,134626.38234,55920.98,2558.71447368421,0,0.42798120544394,1,1,1,0,0,0,0,0,0,2016-10-09,2016,1963.91666666667,1,0,0,0,0,"not occupied","not occupied","0",10676,10833,5897,4936,0.54,0.46,5376,5457,0.5,0.5,3171,0.29,7935,0.73,0.63251007181643,0.860710854947166,1,0,0,0,0
"4","UA05020070000010139","Гніванська","UA05020000000026686","Вінницький","UA05000000000010236","Вінницька","міська","Гніванська міська громада",0,"UA05020070010053570","Гнівань",49.0933696,28.338343,27.3,11,244.5,259.781765033516,413.876274328216,143.054702929842,0,0,0,0,0,0,1,0,18446,12191,0.6609020925946,"0253300000","Бюджет Гніванської міської територіальної громади","Vinnytsia","Center","C",185455.08793,80474.35415,3451.49216,53797.24419,13919.02123,19890.1308,6016.8107,17.154,0,0.98615,87.85687,7903.52823,1729.66317,54,1564.33844,104980.73378,0.5661,0.4339,0.0186,0.2901,0.0751,0.1073,0.0324,2e-04,0,0,8e-04,0.0753,0.0165,5e-04,0.0573,0.5124,0.1326,0.1895,0.0149,33.5083514627687,-32.5662763224282,-28.7623110655237,-16.5965384699943,-17.6682870429694,-20.4137064896058,-16.0459909954267,-19.4618269356693,14.8979892794589,104980.73378,0.566070928286556,18,3252.7333,0,NA,0.45,0.1454,0.15,151737.23286,213260.01608,61522.78322,1942.5612626939,700.325237849175,0.385418033862712,24,0,0,0,0,0,0,0,0,2017-08-20,2017,1648.91666666667,1,0,0,0,0,"not occupied","not occupied","0",5043,15464,8397,7067,0.54,0.46,14110,1354,0.91,0.09,5116,0.33,11058,0.72,0.838338935270519,1.15741120498729,1,3,1,2,1
"5","UA05020090000067118","Іллінецька","UA05020000000026686","Вінницький","UA05000000000010236","Вінницька","міська","Іллінецька міська громада",0,"UA05020090010088788","Іллінці",49.1136358,29.2024356,65,30,469.3,251.90363953481,377.790175526533,192.999037570323,0,0,0,0,0,0,1,0,21123,11095,0.525256829048904,"0250300000","Бюджет Іллінецької міської територіальної громади","Vinnytsia","Center","C",242453.76406,79892.10389,1040.68196,116459.56747,19675.51821,14471.14987,3568.80234,73.409,0,0,163.33439,7487.32708,183.50975,82.617,396.42506,162561.66017,0.6705,0.3295,0.0043,0.4803,0.0812,0.0597,0.0147,5e-04,0,0,0.001,0.0461,0.0011,5e-04,0.022,0.7164,0.121,0.089,0.0024,32.746112067225,-6.16847552044371,-4.32504307116529,-4.68850309485661,-3.10832658625196,9.3870356489149,10.7783035661015,1.1135449179791,3.06014893419174,162561.66017,0.670485198694506,10,5384.0288,1,NA,0.09,0.0740000000000001,-0.02,176809.29653,237491.16786,60681.87133,7347.8595054584,1085.18323353293,0.436523781561949,4,2,0,1,1,0,0,0,0,2016-06-19,2016,2075.91666666667,1,0,0,0,0,"not occupied","not occupied","0",3887,20627,11053,9574,0.54,0.46,17789,2838,0.86,0.14,6675,0.32,15432,0.75,0.976518486957345,1.60333483551149,1,0,0,0,0
"6","UA05020110000052014","Липовецька","UA05020000000026686","Вінницький","UA05000000000010236","Вінницька","міська","Липовецька міська громада",0,"UA05020110010028819","Липовець",49.2296415,29.0642148,47.9,39,614.8,239.573891158715,371.786716629907,192.515401996093,0,0,0,0,0,0,0,0,20302,7958,0.391981085607329,"0255700000","Бюджет Липовецької міської територіальної громади","Vinnytsia","Center","C",195429.14938,70031.29594,1932.60311,69007.31823,22030.84158,21165.13438,4783.71021,21.684,0,0,81.22154,7795.89228,317.24806,0,194.80316,125397.85344,0.6417,0.3583,0.0099,0.3531,0.1127,0.1083,0.0245,2e-04,0,0,6e-04,0.0622,0.0025,0,0.0381,0.5503,0.1757,0.1688,0.0016,38.5036392640101,-13.4169784522702,-9.27106884415999,-0.741803996625445,-0.574213791061329,43.1101471335044,11.6556373537591,18.20601475574,12.8427646612089,125397.85344,0.641653785209757,10,3675.2112,1,NA,0.13,0.0509999999999999,0.05,141609.50502,204438.65661,62829.15159,4297.61277322581,0,0.485404058383766,6,1,1,0,0,0,0,0,0,2020-08-16,2020,556.916666666667,0,0,0,0,0,"not occupied","not occupied","0",276,16982,9272,7710,0.55,0.45,14454,2528,0.85,0.15,4875,0.29,12127,0.71,0.836469313368141,1.81628549886906,1,2,0,0,0
"7","UA05020130000056031","Літинська","UA05020000000026686","Вінницький","UA05000000000010236","Вінницька","селищна","Літинська селищна громада",0,"UA05020130010017278","Літин",49.3232593,28.0837586,38.8,36,587.4,237.333773317172,404.785114494996,150.638244345057,0,0,0,0,0,0,1,0,21124,6547,0.309931831092596,"0254100000","Бюджет Літинської селищної територіальної громади","Vinnytsia","Center","C",214575.3308,94815.90349,3380.9793,67770.44045,17640.75862,9275.76804,16313.5515,0.2,0,0,87.90628,5169.17889,2585.315,120.515,795.79353,119759.42731,0.5581,0.4419,0.0158,0.3158,0.0822,0.0432,0.076,0,0,0,7e-04,0.0432,0.0216,0.001,0.1362,0.5659,0.1473,0.0775,0.0066,19.5884808426829,-10.3758194235708,-4.94345293295414,-9.91743702393116,3.14579988980401,1.83729346324057,-0.112849477039478,-0.778963342473693,13.5216193133748,119759.42731,0.558122999803852,11,3688.3108,1,NA,0.05,0.0728,-0.07,125836.55109,199444.50705,73607.95596,NA,NA,0.449651156402791,NA,2,1,0,1,0,0,0,0,2019-04-21,2019,1039.91666666667,1,0,0,0,0,"not occupied","not occupied","0",7874,20936,11395,9541,0.54,0.46,13957,6979,0.67,0.33,6632,0.32,15011,0.72,0.991100170422268,2.13181609897663,1,3,0,0,0
"8","UA05020150000074651","Лука-Мелешківська","UA05020000000026686","Вінницький","UA05000000000010236","Вінницька","сільська","Лука-Мелешківська сільська громада",0,"UA05020150010063370","Лука-Мелешківська",49.173946,28.495565,12.2,13,166.2,249.815090683434,399.902289221508,157.521880650821,0,0,0,0,0,0,1,0,11272,0,0,"0253000000","Бюджет Лука-Мелешківської сільської територіальної громади","Vinnytsia","Center","C",107194.59016,52715.95581,0,25411.39542,10641.79115,4987.15692,8837.21173,3.947,0,4.37085,10.10664,4246.13735,0,244.32229,92.195,54478.63435,0.5082,0.4918,0,0.2371,0.0993,0.0465,0.0824,1e-04,0,1e-04,2e-04,0.0779,0,0.0045,0.1622,0.4664,0.1953,0.0915,0.0017,31.0889299057177,-25.1455183540048,-18.2558222967731,22.1937822367122,24.4072656180238,-11.5004941252067,-18.7215954952911,0.0182433805591575,49.5527839720286,54478.63435,0.508221863329898,4,2964.4086,3,4,0,0.00890000000000001,-0.02,54393.00755,105193.05966,50800.05211,1226.55642,0,0.479478827361563,NA,0,0,0,0,0,0,0,0,2017-08-20,2017,1648.91666666667,1,0,0,0,0,"not occupied","not occupied","0",NA,8843,4723,4120,0.53,0.47,0,8843,0,1,2929,0.33,6342,0.72,0.784510290986515,NA,0,4,4,2,2
"9","UA05020170000049432","Немирівська","UA05020000000026686","Вінницький","UA05000000000010236","Вінницька","міська","Немирівська міська громада",0,"UA05020170010087489","Немирів",48.9654035,28.8430131,50.3,53,676.9,270.429348896359,405.255218242657,162.062517582683,0,0,0,0,0,0,1,0,27959,11421,0.408491004685432,"0250600000","Бюджет Немирівської міської територіальної громади","Vinnytsia","Center","C",270875.48256,90846.88885,2893.93168,96143.00886,23456.20959,29129.74682,15959.37857,1.939,0,0,98.40871,13354.6101,1112.26006,0,773.032,180028.59371,0.6646,0.3354,0.0107,0.3549,0.0866,0.1075,0.0589,0,0,0,5e-04,0.0742,0.0062,0,0.0886,0.534,0.1303,0.1618,0.0043,6.42754232156753,-20.1980139481864,-14.4707474397896,-18.2041991475781,-11.9112647395661,10.5572496096795,10.9308807572251,0.912169050109091,8.2867492086203,180028.59371,0.664617528351326,9,3417.0762,2,NA,0.03,0.0374,-0.02,185696.19318,264540.6458,78844.45262,4802.6156011976,4210.6994011976,0.504727050930162,41,0,0,0,0,0,0,0,0,2016-10-09,2016,1963.91666666667,1,0,0,0,0,"not occupied","not occupied","0",NA,27610,15020,12590,0.54,0.46,22092,5518,0.8,0.2,8273,0.3,19910,0.72,0.987517436245932,1.93433149461518,0,14,12,3,3
"10","UA05020190000015755","Оратівська","UA05020000000026686","Вінницький","UA05000000000010236","Вінницька","селищна","Оратівська селищна громада",0,"UA05020190010015141","Оратів",49.19472,29.53056,88,52,837.4,240.279610015028,358.545708353369,217.936889698488,0,0,0,0,0,0,0,0,18365,2694,0.146692077320991,"0251000000","Бюджет Оратівської селищної територіальної громади","Vinnytsia","Center","C",194329.70487,73756.46516,905.31642,70183.72092,23055.39129,19380.83088,1988.23565,0,0,0,81.77314,5160.43651,23.029,284,415.82232,120573.23971,0.6205,0.3795,0.0047,0.3612,0.1186,0.0997,0.0102,0,0,0,7e-04,0.0428,2e-04,0.0024,0.0165,0.5821,0.1912,0.1607,0.0034,16.369100456423,-12.3301075274611,-3.52735686414282,-6.28652090943198,-9.80701535367316,15.7123477523559,14.6830621549106,3.70965262049989,2.5230921737879,120573.23971,0.620457072122141,2,4033.3272,4,2,0.08,0.0618999999999999,-0.02,129848.74089,190290.51,60441.76911,3893.22647598722,390.164670658683,0.572613594156246,NA,0,0,0,0,0,0,0,0,2016-10-09,2016,1963.91666666667,1,0,0,0,0,"not occupied","not occupied","0",3561,16409,8832,7577,0.54,0.46,12481,3928,0.76,0.24,4783,0.29,11750,0.72,0.893493057446229,4.63288789903489,1,0,0,0,0
