V1;name;v1_norm;share;new_prop
08.Лип;water_stored;1;0.07945205479452054; 1,19   
08.Лип;comm_test;1;0.07945205479452054; 1,19   
Сер.65;fuel_stored;0.9756097560975615;0.07899543378995434; 1,18   
Сер.45;response_plan;0.8780487804878048;0.07716894977168949; 1,16   
Сер.25;meet_utilities;0.780487804878049;0.07534246575342465; 1,13   
Сер.15;meet_heads;0.7317073170731712;0.07442922374429224; 1,12   
07.Вер;evacuation_plan;0.6097560975609759;0.07214611872146119; 1,08   
07.Вер;data_backup;0.6097560975609759;0.07214611872146119; 1,08   
07.Чер;vdf;0.4634146341463414;0.06940639269406393; 1,04   
Лип.45;plan_coord_oblast;0.3902439024390245;0.0680365296803653; 1,02   
Лип.15;plan_coord_oth_hs;0.24390243902439038;0.06529680365296804; 0,98   
07.Січ;shelter_list_online;0.219512195121951;0.06484018264840183; 0,97   
Чер.85;resistance_plan;0.0975609756097558;0.06255707762557078; 0,94   
Чер.65;shelter_map_online;0;0.06073059360730594; 0,91   
