hromada_code,hromada_name,Youth_councils,Youth_centers,Business_support_centers
UA05020030000031457,Вінницька,1,4,16
UA05040130000025322,Ладижинська,0,0,1
UA05080090000089922,Чернівецька,0,0,5
UA05100110000070795,Студенянська,0,0,1
UA07020010000096841,Володимир-Волинська,0,1,2
UA07020030000052032,Затурцівська,0,0,13
UA07020130000036300,Нововолинська,0,1,2
UA07060190000036342,Ковельська,0,2,2
UA07060330000052414,Рівненська,2,0,2
UA07080070000052255,Горохівська,0,0,3
UA07080130000017070,Колківська,0,0,1
UA07080170000013585,Луцька,2,4,13
UA07080290000088287,Цуманська,0,0,4
UA12020010000033698,Дніпровська,1,10,21
UA12060130000012028,Зеленодольська,0,0,1
UA12060170000091033,Криворізька,0,4,5
UA12140270000072109,Раївська,0,0,1
UA14020010000088496,Бахмутська,0,1,7
UA14020110000075529,Торецька,0,2,3
UA14040010000017239,Великоновосілківська,0,2,1
UA14040030000025138,Волноваська,0,0,1
UA14040050000064688,Вугледарська,0,1,2
UA14080030000053877,Донецька,0,0,1
UA14120030000057882,Дружківська,0,5,2
UA14120050000033910,Іллінівська,0,2,1
UA14120070000090878,Костянтинівська,0,4,2
UA14120090000098500,Краматорська,1,6,10
UA14120110000031497,Лиманська,0,1,3
UA14120170000011133,Олександрівська,0,3,1
UA14120210000056793,Слов’янська,0,2,6
UA14140030000092230,Мангушська,0,1,1
UA14140050000020560,Маріупольська,1,4,9
UA14140070000060361,Нікольська,0,1,2
UA14160010000086090,Авдіївська,0,1,1
UA14160070000097326,Добропільська,0,6,2
UA14160110000031920,Курахівська,0,1,1
UA14160130000011561,Мар’їнська,0,4,2
UA14160150000038750,Мирноградська,1,1,2
UA14160170000023385,Новогродівська,0,2,1
UA14160210000011148,Покровська,0,3,4
UA14160230000060952,Селидівська,0,3,2
UA18020010000059904,Андрушівська,0,0,1
UA18020030000035625,Бердичівська,0,1,5
UA18020070000083539,Гришковецька,0,0,1
UA18020130000096761,Ружинська,0,0,2
UA18040050000049937,Брусилівська,0,0,2
UA18040190000029215,Житомирська,1,1,14
UA18040350000040746,Новогуйвинська,0,0,254
UA18040430000080827,Пулинська,0,0,1
UA18040450000079138,Радомишльська,0,0,1
UA18040470000074046,Романівська,1,0,1
UA18060090000061708,Коростенська,0,1,6
UA18060110000061631,Лугинська,0,0,1
UA18060130000061781,Малинська,0,1,1
UA18060170000069581,Овруцька,0,0,3
UA18080010000090720,Баранівська,0,0,4
UA18080130000032098,Ємільчинська,0,0,1
UA18080150000022496,Новоград-Волинська,1,1,1
UA21020030000019624,Берегівська,0,0,3
UA21100230000083101,Ужгородська,1,0,7
UA21120250000077532,Хустська,0,0,3
UA23020050000046501,Бердянська,0,1,4
UA23020130000081044,Приморська,1,1,1
UA23040030000061166,Василівська,0,0,1
UA23040050000076136,Великобілозерська,0,0,2
UA23040110000019947,Енергодарська,0,1,5
UA23060030000037089,Вільнянська,0,0,1
UA23060070000082704,Запорізька,2,3,31
UA23060170000046208,Михайло-Лукашівська,0,0,1
UA23060190000080843,Новомиколаївська,0,0,1
UA23060330000027462,Широківська,0,0,1
UA23080010000036379,Веселівська,0,0,2
UA23080070000068953,Мелітопольська,1,2,11
UA23080210000060255,Плодородненська,0,0,1
