hromada_code,hromada_name,year,budget_planned,budget_executed,budget_executed_2015
UA05020010000053508,Агрономічна,2016,2995.5,2656.702,2437.3412844036698
UA05020010000053508,Агрономічна,2017,4205.1,3644.121,2938.807258064516
UA05020030000031457,Вінницька,2015,140381.326,118677.67226,118677.67226
UA05020030000031457,Вінницька,2016,195229.03399999999,194368.31438,178319.5544770642
UA05020030000031457,Вінницька,2017,194909.696,194633.048,156962.13548387098
UA05020030000031457,Вінницька,2018,233145.678,122274.878,80443.99868421053
UA05020030000031457,Вінницька,2019,299950.634,259845.71,161394.850931677
UA05020030000031457,Вінницька,2020,174804.4,168032.358,100618.17844311378
UA05020030000031457,Вінницька,2021,132049.894,131027.87,66511.60913705584
UA05020050000066991,Вороновицька,2018,3905,3889.246,2558.7144736842106
UA05020070000010139,Гніванська,2019,2000,2000,1242.2360248447205
UA05020070000010139,Гніванська,2020,1000,1000,598.8023952095808
UA05020070000010139,Гніванська,2021,200,200,101.5228426395939
UA05020090000067118,Іллінецька,2015,1691.6,1666.40298,1666.40298
UA05020090000067118,Іллінецька,2019,7400,7400,4596.273291925466
UA05020090000067118,Іллінецька,2020,1812.256,1812.256,1085.1832335329343
UA05020110000052014,Липовецька,2015,2846,2845.99987,2845.99987
UA05020110000052014,Липовецька,2017,1800,1800,1451.6129032258063
UA05020150000074651,Лука-Мелешківська,2015,1443.2,1226.55642,1226.55642
UA05020170000049432,Немирівська,2015,621.2,591.9162,591.9162
UA05020170000049432,Немирівська,2020,7031.868,7031.868,4210.699401197605
UA05020190000015755,Оратівська,2018,2700,2635.469,1733.8611842105263
UA05020190000015755,Оратівська,2019,3500,2848.413,1769.2006211180124
UA05020190000015755,Оратівська,2020,651.575,651.575,390.16467065868267
UA05020210000033427,Погребищенська,2015,4800,4800,4800
UA05020210000033427,Погребищенська,2016,6000,5990.056,5495.464220183486
UA05020210000033427,Погребищенська,2017,4000,3998.63,3224.701612903226
UA05020230000029909,Стрижавська,2015,30277.1,22061.161200000002,22061.161200000002
UA05020230000029909,Стрижавська,2016,7800,7795.88,7152.183486238531
UA05020230000029909,Стрижавська,2017,14254.8,14236.266,11480.859677419354
UA05020230000029909,Стрижавська,2018,21500,21090.238,13875.15657894737
UA05020230000029909,Стрижавська,2019,16000,15910.032,9882.007453416149
UA05020230000029909,Стрижавська,2020,100,0,0
UA05020250000055470,Сутисківська,2017,1500,1500,1209.6774193548388
UA05020250000055470,Сутисківська,2020,3500,3500,2095.808383233533
UA05020250000055470,Сутисківська,2021,26095.224,26095.224,13246.306598984771
UA05020290000092626,Турбівська,2015,100,100,100
UA05020290000092626,Турбівська,2017,1000,1000,806.4516129032259
UA05020290000092626,Турбівська,2018,1500,1499.967,986.8203947368421
UA05020310000080026,Якушинецька,2016,1080,1080,990.8256880733944
UA05040010000022470,Бершадська,2015,1105,727.66043,727.66043
UA05040010000022470,Бершадська,2017,1000,1000,806.4516129032259
UA05040030000050131,Гайсинська,2020,5830.502,3630.5,2173.9520958083835
UA05040030000050131,Гайсинська,2021,25692.526,25690.5,13040.862944162436
UA05040070000093188,Джулинська,2017,270,270,217.74193548387098
UA05040090000093950,Краснопільська,2016,6000,5921.491,5432.560550458716
UA05040090000093950,Краснопільська,2017,4000,3999.997,3225.8040322580646
UA05040090000093950,Краснопільська,2018,2700,2699.246,1775.8197368421054
UA05040150000077146,Ободівська,2015,3867.4,3853.54755,3853.54755
UA05040150000077146,Ободівська,2020,1000,1000,598.8023952095808
UA05040190000039450,Райгородська,2017,435.1,435.1,350.8870967741936
UA05040230000017028,Теплицька,2016,2000,2000,1834.8623853211009
UA05040230000017028,Теплицька,2017,3670.352,3670.352,2959.9612903225807
UA05040230000017028,Теплицька,2020,3622,3622,2168.862275449102
UA05040250000027965,Тростянецька,2017,500,500,403.2258064516129
UA05040250000027965,Тростянецька,2018,3500,2000,1315.7894736842104
UA05040250000027965,Тростянецька,2019,2000,2000,1242.2360248447205
UA05040250000027965,Тростянецька,2020,4403.5,4403.5,2636.8263473053894
UA05040270000051651,Чечельницька,2015,100,99.99968,99.99968
UA05060010000053179,Барська,2015,1000,1000,1000
UA05060030000026125,Джуринська,2015,5188.714,5164.13143,5164.13143
UA05060030000026125,Джуринська,2017,3200,3200,2580.6451612903224
UA05060030000026125,Джуринська,2018,2300,2300,1513.157894736842
UA05060050000058111,Жмеринська,2015,200,200,200
UA05060050000058111,Жмеринська,2016,6000,5999.756,5504.363302752294
UA05060050000058111,Жмеринська,2017,5000,4853.606,3914.1983870967742
UA05060050000058111,Жмеринська,2018,4000,3350,2203.9473684210525
UA05060050000058111,Жмеринська,2019,1000,999.596,620.8670807453416
UA05060050000058111,Жмеринська,2020,9096.4,8462.2,5067.185628742515
UA05060050000058111,Жмеринська,2021,13787.8,13787.8,6998.883248730965
UA05060090000058521,Мурафська,2017,800,800,645.1612903225806
UA05060110000027268,Северинівська,2015,100,100,100
UA05060110000027268,Северинівська,2017,3077.068,3035.972,2448.3645161290324
UA05060150000094411,Шаргородська,2018,4167.4,4167.4,2741.710526315789
UA05080010000038400,Бабчинецька,2018,2000,1504.538,989.8276315789474
UA05080010000038400,Бабчинецька,2019,2500,2500,1552.7950310559006
UA05080030000089348,Вендичанська,2017,924.6,924.6,745.6451612903226
UA05080050000023603,Могилів-Подільська,2015,2364,2364,2364
UA05080050000023603,Могилів-Подільська,2017,5000,5000,4032.2580645161293
UA05080050000023603,Могилів-Подільська,2019,20000,19999.998,12422.35900621118
UA05080070000010150,Мурованокуриловецька,2015,1220.3,1220.3,1220.3
UA05080070000010150,Мурованокуриловецька,2016,574.5,344.333,315.90183486238533
UA05080070000010150,Мурованокуриловецька,2018,3000,2999.991,1973.6782894736841
UA05080090000089922,Чернівецька,2015,682,659.99694,659.99694
UA05080090000089922,Чернівецька,2017,1200,1200,967.741935483871
