"hromada_code","hromada_name","raion_code","raion_name","oblast_code","oblast_name","type","hromada_full_name","oblast_center","hromada_center_code","hromada_center","lat_center","lon_center","travel_time","n_settlements","square","distance_to_russia_belarus","distance_to_russia","distance_to_eu","mountain_hromada","near_seas","bordering_hromadas","hromadas_30km_from_border","hromadas_30km_russia_belarus","buffer_nat_15km","buffer_int_15km","occipied_before_2022","total_popultaion_2022","urban_popultaion_2022.x","urban_pct","budget_code","budget_name","oblast_name_en","region_en","region_code_en","income_total_2021","income_transfert_2021","income_military_2021","income_pdfo_2021","income_unified_tax_2021","income_property_tax_2021","income_excise_duty_2021","income_own_2021","own_income_prop_2021","transfert_prop_2021","military_tax_prop_2021","pdfo_prop_2021","unified_tax_prop_2021","property_tax_prop_2021","excise_duty_prop_2021","own_income_change","own_prop_change","total_income_change","income_own_2022","income_total_2022","income_transfert_2022","own_income_no_mil_change_YoY_jan_feb","own_income_no_mil_change_YoY_jun_aug","own_income_no_mil_change_YoY_mar_may","own_income_no_mil_change_YoY_adapt","dfrr_executed","turnout_2020","sex_head","age_head","education_head","incumbent","rda","not_from_here","party","enterpreuner","unemployed","priv_work","polit_work","communal_work","ngo_work","party_national_winner","no_party","male","high_educ","sum_osbb_2020","edem_total","edem_petitions","edem_consultations","edem_participatory_budget","edem_open_hromada","youth_councils","youth_centers","business_support_centers","creation_date","creation_year","time_before_24th","voluntary","war_zone_27_04_2022","war_zone_20_06_2022","war_zone_23_08_2022","war_zone_10_10_2022","passangers_2021","total_declarations","female_declarations","male_declarations","female_pct_declarations","male_pct_declarations","urban_declarations","rural_declarations","urban_pct_declarations","rural_pct_declarations","youth_declarations","youth_pct_declarations","working_age_total_declarations","working_age_pct_declarations","urban_popultaion_2022.y","declarations_pct","urban_declarations_pct","train_station"
"UA05020010000053508","Агрономічна","UA05020000000026686","Вінницький","UA05000000000010236","Вінницька","сільська","Агрономічна сільська громада",0,"UA05020010010058853","Агрономічне",49.1927696,28.3720314,13.9,6,86.1,248.52829548306,403.5402827934,152.590620608515,NA,NA,NA,NA,NA,NA,1,0,9361,0,0,2.547e+09,"Бюджет Агрономічної сільської територіальної громади","Vinnytsia","Center","C",34270.96153,14845.524,445.148,10426.99572,4181.45409,1694.52156,498.95954,19425.43753,2.9,2.1,0.07,1.54,0.66,0.27,0.06,0.18,0.11,-0.01,18424.45007,33467.49207,15043.042,-2.12471916385282,3.90963720172657,-28.777879846449,32.6875170481755,6300.823,0.46411889596603,"male",54,"higher",0,0,0,"Самовисування",0,0,0,1,0,0,0,1,1,1,8,2,1,1,0,0,0,0,0,"2020-08-16",2020,556.916666666667,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"UA05020030000031457","Вінницька","UA05020000000026686","Вінницький","UA05000000000010236","Вінницька","міська","Вінницька міська громада",1,"UA05020030010063857","Вінниця",49.2320162,28.467975,0,9,256.6,243.529695811495,395.874065136438,160.584423598527,NA,NA,NA,NA,NA,NA,1,0,387439,371004,0.957580419111137,2.536e+09,"Бюджет Вінницької міської територіальної громади","Vinnytsia","Center","C",1952592.69545,372456.14277,84391.35861,983232.20675,226354.50785,153913.76589,107701.98123,1580136.55268,4.08,0.92,0.22,2.53,0.58,0.4,0.27,0.12,0.0800000000000001,0.06,1890998.74936,2293558.72161,402559.97225,27.4299647754514,5.63222912366343,-6.97154201200119,12.6037711356646,1188859.85064,0.314525147237226,"male",54,"higher",1,0,0,"Українська стратегія Гройсмана",0,0,0,1,0,0,0,0,1,1,656,3,1,1,1,0,1,4,16,"2018-09-20",2018,1252.91666666667,1,0,0,0,0,670569,395476,215979,179497,0.55,0.45,393110,2366,0.99,0.01,143042,0.36,290521,0.73,371004,1.02074391065432,1.05958426324244,1
"UA05020050000066991","Вороновицька","UA05020000000026686","Вінницький","UA05000000000010236","Вінницька","селищна","Вороновицька селищна громада",0,"UA05020050010084898","Вороновиця",49.1117881,28.6889425,28.9,21,373.5,255.995286469173,397.557351039852,163.193829425156,NA,NA,NA,NA,NA,NA,1,0,17127,6246,0.364687335785602,2.508e+09,"Бюджет Вороновицької селищної територіальної громади","Vinnytsia","Center","C",51515.94819,24807.73,163.17634,16243.95016,2503.88712,4271.12779,2686.67991,26708.21819,2.69,2.31,0,1.62,0.26,0.44,0.27,0.04,0.11,-0.13,29235.73367,55667.66467,26431.931,13.9257722886484,-3.1977524455524,-14.7484486939527,11.5506962484003,3889.246,0.42798120544394,"male",54,"higher",1,0,0,"Українська стратегія Гройсмана",0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,"2016-10-09",2016,1963.91666666667,1,0,0,0,0,10676,10833,5897,4936,0.54,0.46,5376,5457,0.5,0.5,3171,0.29,7935,0.73,6246,0.63251007181643,0.860710854947166,1
"UA05020070000010139","Гніванська","UA05020000000026686","Вінницький","UA05000000000010236","Вінницька","міська","Гніванська міська громада",0,"UA05020070010053570","Гнівань",49.0933696,28.338343,27.3,11,244.5,259.781765033516,413.876274328216,143.054702929842,NA,NA,NA,NA,NA,NA,1,0,18446,12191,0.6609020925946,2.533e+09,"Бюджет Гніванської міської територіальної громади","Vinnytsia","Center","C",84179.35763,42646.94343,1356.84412,21544.52619,4652.10287,7717.27259,2435.05924,41532.4142,2.57,2.43,0.09,1.33,0.29,0.49,0.15,0.79,0.35,0.29,49192.84892,77227.52672,28034.6778,33.5083514627687,-16.5965384699943,-28.7623110655237,12.1657725955294,3200,0.385418033862712,"male",56,"higher",1,0,0,"Українська стратегія Гройсмана",0,0,0,1,0,0,0,0,1,1,24,0,0,0,0,0,0,0,0,"2017-08-20",2017,1648.91666666667,1,0,0,0,0,5043,15464,8397,7067,0.54,0.46,14110,1354,0.91,0.09,5116,0.33,11058,0.72,12191,0.838338935270519,1.15741120498729,1
"UA05020090000067118","Іллінецька","UA05020000000026686","Вінницький","UA05000000000010236","Вінницька","міська","Іллінецька міська громада",0,"UA05020090010088788","Іллінці",49.1136358,29.2024356,65,30,469.3,251.90363953481,377.790175526533,192.999037570323,NA,NA,NA,NA,NA,NA,1,0,21123,11095,0.525256829048904,2.503e+09,"Бюджет Іллінецької міської територіальної громади","Vinnytsia","Center","C",96125.70122,32883.34348,441.35499,45074.00614,6161.49637,6977.65997,2099.88577,63242.35774,3.38,1.62,0.03,2.39,0.36,0.37,0.1,-0.11,0.11,-0.14,63937.95292,93828.02392,29890.071,32.746112067225,-4.68850309485661,-4.32504307116529,-0.363460023691319,10878.65898,0.436523781561949,"male",62,"higher",1,0,0,"Слуга народу",0,0,0,1,0,0,1,0,1,1,4,2,0,1,1,0,0,0,0,"2016-06-19",2016,2075.91666666667,1,0,0,0,0,3887,20627,11053,9574,0.54,0.46,17789,2838,0.86,0.14,6675,0.32,15432,0.75,11095,0.976518486957345,1.60333483551149,1
"UA05020110000052014","Липовецька","UA05020000000026686","Вінницький","UA05000000000010236","Вінницька","міська","Липовецька міська громада",0,"UA05020110010028819","Липовець",49.2296415,29.0642148,47.9,39,614.8,239.573891158715,371.786716629907,192.515401996093,NA,NA,NA,NA,NA,NA,NA,0,20302,7958,0.391981085607329,2.557e+09,"Бюджет Липовецької міської територіальної громади","Vinnytsia","Center","C",75477.31224,31400.107,782.32479,25552.63949,5352.01566,8801.52934,2194.80573,44077.20524,3.02,1.98,0.05,1.74,0.37,0.62,0.15,-0.01,0.13,-0.0799999999999999,45857.86663,76311.57561,30453.70898,38.5036392640101,-0.741803996625445,-9.27106884415999,8.52926484753455,4645.99987,0.485404058383766,"male",61,"higher",0,0,0,"Батьківщина",0,0,0,1,0,0,0,0,1,1,6,1,1,0,0,0,0,0,0,"2020-08-16",2020,556.916666666667,0,0,0,0,0,276,16982,9272,7710,0.55,0.45,14454,2528,0.85,0.15,4875,0.29,12127,0.71,7958,0.836469313368141,1.81628549886906,1
"UA05020130000056031","Літинська","UA05020000000026686","Вінницький","UA05000000000010236","Вінницька","селищна","Літинська селищна громада",0,"UA05020130010017278","Літин",49.3232593,28.0837586,38.8,36,587.4,237.333773317172,404.785114494996,150.638244345057,NA,NA,NA,NA,NA,NA,1,0,21124,6547,0.309931831092596,2.541e+09,"Бюджет Літинської селищної територіальної громади","Vinnytsia","Center","C",87606.37074,42774.579,1367.97569,26210.95723,5376.47581,4317.05276,6974.44243,44831.79174,2.68,2.32,0.09,1.54,0.34,0.29,0.4,0.06,0.12,-0.13,45158.85582,81278.89589,36120.04007,19.5884808426829,-9.91743702393116,-4.94345293295414,-4.97398409097702,NA,0.449651156402791,"male",54,"higher",1,0,0,"Батьківщина",0,0,0,0,1,0,0,0,1,1,NA,2,1,0,1,0,0,0,0,"2019-04-21",2019,1039.91666666667,1,0,0,0,0,7874,20936,11395,9541,0.54,0.46,13957,6979,0.67,0.33,6632,0.32,15011,0.72,6547,0.991100170422269,2.13181609897663,1
"UA05020150000074651","Лука-Мелешківська","UA05020000000026686","Вінницький","UA05000000000010236","Вінницька","сільська","Лука-Мелешківська сільська громада",0,"UA05020150010063370","Лука-Мелешківська",49.173946,28.495565,12.2,13,166.2,249.815090683434,399.902289221508,157.521880650821,NA,NA,NA,NA,NA,NA,1,0,11272,0,0,2.53e+09,"Бюджет Лука-Мелешківської сільської територіальної громади","Vinnytsia","Center","C",41933.07024,22624.40385,0,8628.30086,3318.68215,1874.68798,4106.36718,19308.66639,2.43,2.57,0,1.08,0.46,0.25,0.48,0.01,0.0900000000000001,-0.13,18466.6431,42776.9901,24310.347,31.0889299057177,22.1937822367122,-18.2558222967731,40.4496045334853,1226.55642,0.479478827361563,"male",33,"higher",0,0,0,"Українська стратегія Гройсмана",0,0,0,1,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,"2017-08-20",2017,1648.91666666667,1,0,0,0,0,NA,8843,4723,4120,0.53,0.47,0,8843,0,1,2929,0.33,6342,0.72,0,0.784510290986515,NA,0
"UA05020170000049432","Немирівська","UA05020000000026686","Вінницький","UA05000000000010236","Вінницька","міська","Немирівська міська громада",0,"UA05020170010087489","Немирів",48.9654035,28.8430131,50.3,53,676.9,270.429348896359,405.255218242657,162.062517582683,NA,NA,NA,NA,NA,NA,1,0,27959,11421,0.408491004685432,2.506e+09,"Бюджет Немирівської міської територіальної громади","Vinnytsia","Center","C",108443.45828,40831.27411,1203.757,36913.64638,6698.01306,13184.08909,6349.06253,67612.18417,3.2,1.8,0.06,1.74,0.35,0.64,0.29,0.03,0.13,-0.05,63665.04611,102705.12005,39040.07394,6.42754232156753,-18.2041991475781,-14.4707474397896,-3.73345170778849,7623.7842,0.504727050930162,"male",57,"higher",1,0,0,"Самовисування",0,0,0,1,0,0,0,1,1,1,41,0,0,0,0,0,0,0,0,"2016-10-09",2016,1963.91666666667,1,0,0,0,0,NA,27610,15020,12590,0.54,0.46,22092,5518,0.8,0.2,8273,0.3,19910,0.72,11421,0.987517436245932,1.93433149461518,0
"UA05020190000015755","Оратівська","UA05020000000026686","Вінницький","UA05000000000010236","Вінницька","селищна","Оратівська селищна громада",0,"UA05020190010015141","Оратів",49.19472,29.53056,88,52,837.4,240.279610015028,358.545708353369,217.936889698488,NA,NA,NA,NA,NA,NA,NA,0,18365,2694,0.146692077320991,2.51e+09,"Бюджет Оратівської селищної територіальної громади","Vinnytsia","Center","C",69732.00857,30783.161,399.4915,21451.39278,5759.88575,8047.66723,753.07436,38948.84757,2.88,2.12,0.04,1.59,0.44,0.6,0.06,0.34,0.22,0.1,40279.78716,69860.89191,29581.10475,16.369100456423,-6.28652090943198,-3.52735686414282,-2.75916404528916,6135.457,0.572613594156246,"female",48,"higher",0,1,0,"Самовисування",0,0,1,0,0,0,0,1,0,1,NA,0,0,0,0,0,0,0,0,"2016-10-09",2016,1963.91666666667,1,0,0,0,0,3561,16409,8832,7577,0.54,0.46,12481,3928,0.76,0.24,4783,0.29,11750,0.72,2694,0.893493057446229,4.63288789903489,1
