oblast_short_name,raion_short_name,hromada_short_name,hromada_type,war_zone_27_04_2022,war_zone_20_06_2022,war_zone_23_08_2022,war_zone_10_10_2022,oblast_code,raion_code,hromada_code,type,Status_war_sept,Status_war_sept_ext,deoccupation_date
Дніпропетровська,Криворізький,Широківська,селищна,1,1,1,1,UA12000000000090473,UA12060000000022633,UA12060290000039013,селищна,"not occupied, in the war zone","not occupied, in the war zone",0
Дніпропетровська,Криворізький,Зеленодольська,міська,1,1,1,1,UA12000000000090473,UA12060000000022633,UA12060130000012028,міська,"not occupied, in the war zone","not occupied, in the war zone",0
Дніпропетровська,Нікопольський,Марганецька,міська,0,0,0,1,UA12000000000090473,UA12080000000023578,UA12080010000029838,міська,"not occupied, in the war zone","not occupied, in the war zone",0
Дніпропетровська,Нікопольський,Мирівська,сільська,0,0,1,1,UA12000000000090473,UA12080000000023578,UA12080030000022466,сільська,"not occupied, in the war zone","not occupied, in the war zone",0
Дніпропетровська,Нікопольський,Нікопольська,міська,0,0,1,1,UA12000000000090473,UA12080000000023578,UA12080050000062712,міська,"not occupied, in the war zone","not occupied, in the war zone",0
Дніпропетровська,Нікопольський,Червоногригорівська,селищна,0,0,1,1,UA12000000000090473,UA12080000000023578,UA12080150000061416,селищна,"not occupied, in the war zone","not occupied, in the war zone",0
Дніпропетровська,Синельниківський,Великомихайлівська,сільська,0,1,1,1,UA12000000000090473,UA12140000000011720,UA12140050000051356,сільська,"not occupied, in the war zone","not occupied, in the war zone",0
Дніпропетровська,Синельниківський,Маломихайлівська,сільська,0,1,1,1,UA12000000000090473,UA12140000000011720,UA12140130000052990,сільська,"not occupied, in the war zone","not occupied, in the war zone",0
Дніпропетровська,Синельниківський,Межівська,селищна,0,1,0,0,UA12000000000090473,UA12140000000011720,UA12140150000054570,селищна,"not occupied, in the war zone","not occupied, in the war zone",0
Дніпропетровська,Синельниківський,Новопавлівська,сільська,0,1,1,1,UA12000000000090473,UA12140000000011720,UA12140190000047361,сільська,"not occupied, in the war zone","not occupied, in the war zone",0
Дніпропетровська,Синельниківський,Покровська,селищна,0,1,1,1,UA12000000000090473,UA12140000000011720,UA12140250000015858,селищна,"not occupied, in the war zone","not occupied, in the war zone",0
Донецька,Бахмутський,Бахмутська,міська,1,1,1,1,UA14000000000091971,UA14020000000013572,UA14020010000088496,міська,"not occupied, in the war zone","not occupied, in the war zone",0
Донецька,Бахмутський,Званівська,сільська,1,1,1,1,UA14000000000091971,UA14020000000013572,UA14020030000023064,сільська,"not occupied, in the war zone","not occupied, in the war zone",0
Донецька,Бахмутський,Світлодарська,міська,1,1,1,1,UA14000000000091971,UA14020000000013572,UA14020050000019803,міська,occupied,occupied,0
