rada_code,rada_name,hromada_code,hromada_name,rai_center,oblast,note
7410100000,Чернігівська міська рада,UA74100390000073425,Чернігівська міська громада,м.Чернігів,Чернігівська область,NA
7421480800,Бурівська сільська рада,UA74100370000041962,Тупичівська сільська громада,Городнянський район,Чернігівська область,NA
7421482000,Великолиственська сільська рада,UA74100370000041962,Тупичівська сільська громада,Городнянський район,Чернігівська область,NA
7421482800,Вихвостівська сільська рада,UA74100370000041962,Тупичівська сільська громада,Городнянський район,Чернігівська область,NA
7421484400,Івашківська сільська рада,UA74100370000041962,Тупичівська сільська громада,Городнянський район,Чернігівська область,NA
7421485400,Куликівська сільська рада,UA74100370000041962,Тупичівська сільська громада,Городнянський район,Чернігівська область,NA
7421488400,Тупичівська сільська рада,UA74100370000041962,Тупичівська сільська громада,Городнянський район,Чернігівська область,NA
7421481800,Великодирчинська сільська рада,UA74100350000075160,Седнівська селищна громада,Городнянський район,Чернігівська область,NA
7421486000,Макишинська сільська рада,UA74100350000075160,Седнівська селищна громада,Городнянський район,Чернігівська область,NA
7425556000,Седнівська селищна рада,UA74100350000075160,Седнівська селищна громада,Чернігівський район,Чернігівська область,NA
7425589500,Черниська сільська рада,UA74100350000075160,Седнівська селищна громада,Чернігівський район,Чернігівська область,NA
7424455100,Ріпкинська селищна рада,UA74100330000029082,Ріпкинська селищна громада,Ріпкинський район,Чернігівська область,NA
7424455700,Замглайська селищна рада,UA74100330000029082,Ріпкинська селищна громада,Ріпкинський район,Чернігівська область,NA
7424456400,Радульська селищна рада,UA74100330000029082,Ріпкинська селищна громада,Ріпкинський район,Чернігівська область,NA
7424480400,Великовіська сільська рада,UA74100330000029082,Ріпкинська селищна громада,Ріпкинський район,Чернігівська область,NA
7424481000,Вербицька сільська рада,UA74100330000029082,Ріпкинська селищна громада,Ріпкинський район,Чернігівська область,NA
7424481200,Вишнівська сільська рада,UA74100330000029082,Ріпкинська селищна громада,Ріпкинський район,Чернігівська область,NA
7424481500,Голубицька сільська рада,UA74100330000029082,Ріпкинська селищна громада,Ріпкинський район,Чернігівська область,NA
7424482400,Грабівська сільська рада,UA74100330000029082,Ріпкинська селищна громада,Ріпкинський район,Чернігівська область,NA
7424482600,Гучинська сільська рада,UA74100330000029082,Ріпкинська селищна громада,Ріпкинський район,Чернігівська область,NA
7424482800,Даницька сільська рада,UA74100330000029082,Ріпкинська селищна громада,Ріпкинський район,Чернігівська область,NA
7424483000,Задеріївська сільська рада,UA74100330000029082,Ріпкинська селищна громада,Ріпкинський район,Чернігівська область,NA
7424483400,Красківська сільська рада,UA74100330000029082,Ріпкинська селищна громада,Ріпкинський район,Чернігівська область,NA
7424483600,Ловинська сільська рада,UA74100330000029082,Ріпкинська селищна громада,Ріпкинський район,Чернігівська область,NA
7424484400,Малолиственська сільська рада,UA74100330000029082,Ріпкинська селищна громада,Ріпкинський район,Чернігівська область,NA
7424486000,Новоукраїнська сільська рада,UA74100330000029082,Ріпкинська селищна громада,Ріпкинський район,Чернігівська область,NA
7424487200,Петрушівська сільська рада,UA74100330000029082,Ріпкинська селищна громада,Ріпкинський район,Чернігівська область,NA
7424488000,Пушкарівська сільська рада,UA74100330000029082,Ріпкинська селищна громада,Ріпкинський район,Чернігівська область,NA
7424488600,Сиберізька сільська рада,UA74100330000029082,Ріпкинська селищна громада,Ріпкинський район,Чернігівська область,NA
7422010400,Остерська міська рада,UA74100310000091595,Остерська міська громада,Козелецький район,Чернігівська область,NA
7422080700,Біликівська сільська рада,UA74100310000091595,Остерська міська громада,Козелецький район,Чернігівська область,NA
7422081200,Бірківська сільська рада,UA74100310000091595,Остерська міська громада,Козелецький район,Чернігівська область,NA
7422082700,Євминська сільська рада,UA74100310000091595,Остерська міська громада,Козелецький район,Чернігівська область,NA
7422084500,Крехаївська сільська рада,UA74100310000091595,Остерська міська громада,Козелецький район,Чернігівська область,NA
7422086500,Одинцівська сільська рада,UA74100310000091595,Остерська міська громада,Козелецький район,Чернігівська область,NA
7422087400,Пархимівська сільська рада,UA74100310000091595,Остерська міська громада,Козелецький район,Чернігівська область,NA
7422787000,Смолянська сільська рада,UA74100290000084770,Олишівська селищна громада,Куликівський район,Чернігівська область,NA
7425555700,Олишівська селищна рада,UA74100290000084770,Олишівська селищна громада,Чернігівський район,Чернігівська область,NA
7425587900,Серединська сільська рада,UA74100290000084770,Олишівська селищна громада,Чернігівський район,Чернігівська область,NA
7425581900,Довжицька сільська рада,UA74100270000049748,Новобілоуська сільська громада,Чернігівський район,Чернігівська область,NA
7425584100,Кувечицька сільська рада,UA74100270000049748,Новобілоуська сільська громада,Чернігівський район,Чернігівська область,NA
7425585200,Мохнатинська сільська рада,UA74100270000049748,Новобілоуська сільська громада,Чернігівський район,Чернігівська область,NA
7425585500,Новобілоуська сільська рада,UA74100270000049748,Новобілоуська сільська громада,Чернігівський район,Чернігівська область,NA
7425587400,Редьківська сільська рада,UA74100270000049748,Новобілоуська сільська громада,Чернігівський район,Чернігівська область,NA
7425587500,Роїщенська сільська рада,UA74100270000049748,Новобілоуська сільська громада,Чернігівський район,Чернігівська область,NA
7425587700,Рудківська сільська рада,UA74100270000049748,Новобілоуська сільська громада,Чернігівський район,Чернігівська область,NA
7425588600,Старобілоуська сільська рада,UA74100270000049748,Новобілоуська сільська громада,Чернігівський район,Чернігівська область,NA
7425589100,Халявинська сільська рада,UA74100270000049748,Новобілоуська сільська громада,Чернігівський район,Чернігівська область,NA
7425589300,Хмільницька сільська рада,UA74100270000049748,Новобілоуська сільська громада,Чернігівський район,Чернігівська область,NA
7425555400,Михайло-Коцюбинська селищна рада,UA74100250000038291,Михайло-Коцюбинська селищна громада,Чернігівський район,Чернігівська область,NA
7425580300,Андріївська сільська рада,UA74100250000038291,Михайло-Коцюбинська селищна громада,Чернігівський район,Чернігівська область,NA
7425581300,Ведильцівська сільська рада,UA74100250000038291,Михайло-Коцюбинська селищна громада,Чернігівський район,Чернігівська область,NA
7425581600,Дніпровська сільська рада,UA74100250000038291,Михайло-Коцюбинська селищна громада,Чернігівський район,Чернігівська область,NA
