oblast_code,raion_code,settlement_name,category_label,settlement_code,rada_code,rada_name,raion_name,oblast_name
0100000000,0110000000,Міста Автономної Республіки Крим,місто,0110000000,0110000000,Міста Автономної Республіки Крим,NA,NA
0100000000,0110100000,Сімферополь,місто,0110100000,0110100000,Сімферополь,NA,NA
0100000000,0110100000,Райони М.сімферополя,місто,0110130000,0110130000,Райони М.сімферополя,NA,NA
0100000000,0110100000,"Селища Міського Типу, Підпорядковані Залізничній Райраді М.сімферополя",місто,0110165000,0110165000,"Селища Міського Типу, Підпорядковані Залізничній Райраді М.сімферополя",NA,NA
0100000000,0110100000,Аерофлотський,селище міського типу,0110165300,0110165300,Аерофлотський,NA,NA
0100000000,0110100000,Гресівський,селище міського типу,0110165600,0110165600,Гресівський,NA,NA
0100000000,0110100000,Бітумне,селище,0110165601,0110165600,Гресівський,NA,NA
0100000000,0110100000,Комсомольське,селище міського типу,0110165800,0110165800,Комсомольське,NA,NA
0100000000,0110100000,"Селища Міського Типу, Підпорядковані Київській Райраді М.сімферополя",місто,0110166000,0110166000,"Селища Міського Типу, Підпорядковані Київській Райраді М.сімферополя",NA,NA
0100000000,0110100000,Аграрне,селище міського типу,0110166200,0110166200,Аграрне,NA,NA
0100000000,0110300000,Алушта,місто,0110300000,0110300000,Алушта,NA,NA
0100000000,0110300000,"Селища Міського Типу, Підпорядковані Алуштинській Міськраді",місто,0110345000,0110345000,"Селища Міського Типу, Підпорядковані Алуштинській Міськраді",NA,NA
0100000000,0110300000,Партеніт,селище міського типу,0110345400,0110345400,Партеніт,NA,NA
0100000000,0110300000,"Сільради, Підпорядковані Алуштинській Міськраді",місто,0110390000,0110390000,"Сільради, Підпорядковані Алуштинській Міськраді",NA,NA
0100000000,0110300000,Ізобільне,село,0110390901,0110390900,NA,NA,NA
0100000000,0110300000,Верхня Кутузовка,село,0110390903,0110390900,NA,NA,NA
0100000000,0110300000,Нижня Кутузовка,село,0110390905,0110390900,NA,NA,NA
0100000000,0110300000,Розовий,селище,0110390907,0110390900,NA,NA,NA
0100000000,0110300000,Лучисте,село,0110391401,0110391400,NA,NA,NA
0100000000,0110300000,Лаванда,селище,0110391403,0110391400,NA,NA,NA
0100000000,0110300000,Семидвір�я,селище,0110391405,0110391400,NA,NA,NA
0100000000,0110300000,Малий Маяк,село,0110391801,0110391800,NA,NA,NA
0100000000,0110300000,Бондаренкове,селище,0110391802,0110391800,NA,NA,NA
0100000000,0110300000,Виноградний,село,0110391803,0110391800,NA,NA,NA
0100000000,0110300000,Запрудне,село,0110391805,0110391800,NA,NA,NA
0100000000,0110300000,Кипарисне,село,0110391807,0110391800,NA,NA,NA
0100000000,0110300000,Лаврове,село,0110391809,0110391800,NA,NA,NA
