hromada_code,hromada_name,subject,mean_score,n_didnt_pass,n,pct_didnt_pass
UA05020010000053508,Агрономічна,Eng,145,1,20,0.05
UA05020010000053508,Агрономічна,Hist,141.1851851851852,6,33,0.18181818181818182
UA05020010000053508,Агрономічна,Math,138.93103448275863,8,37,0.21621621621621623
UA05020010000053508,Агрономічна,UML,148.81944444444446,1,37,0.02702702702702703
UA05020010000053508,Агрономічна,Ukr,149.97435897435898,1,40,0.025
UA05020030000031457,Вінницька,Eng,154.9549795361528,65,1531,0.042455911169170475
UA05020030000031457,Вінницька,Hist,145.5582034830431,99,1190,0.08319327731092437
UA05020030000031457,Вінницька,Math,147.96077170418008,280,1835,0.15258855585831063
UA05020030000031457,Вінницька,UML,158.31919374247894,36,1698,0.02120141342756184
UA05020030000031457,Вінницька,Ukr,159.99113805970148,38,2182,0.017415215398716773
UA05020050000066991,Вороновицька,Eng,134.8181818181818,7,18,0.3888888888888889
UA05020050000066991,Вороновицька,Hist,134.6060606060606,16,49,0.32653061224489793
UA05020050000066991,Вороновицька,Math,132.93103448275863,24,53,0.4528301886792453
UA05020050000066991,Вороновицька,UML,131.8095238095238,3,45,0.06666666666666667
UA05020050000066991,Вороновицька,Ukr,132.59649122807016,5,62,0.08064516129032258
UA05020070000010139,Гніванська,Eng,137.19642857142858,2,58,0.034482758620689655
UA05020070000010139,Гніванська,Hist,137.15686274509804,8,59,0.13559322033898305
UA05020070000010139,Гніванська,Math,131.25396825396825,16,79,0.20253164556962025
UA05020070000010139,Гніванська,UML,142.01333333333332,2,77,0.025974025974025976
UA05020070000010139,Гніванська,Ukr,141.68965517241378,3,90,0.03333333333333333
UA05020090000067118,Іллінецька,Eng,141.95454545454547,1,45,0.022222222222222223
UA05020090000067118,Іллінецька,Hist,139.38095238095238,14,98,0.14285714285714285
UA05020090000067118,Іллінецька,Math,140.8815789473684,37,113,0.3274336283185841
UA05020090000067118,Іллінецька,UML,149.95299145299145,6,123,0.04878048780487805
UA05020090000067118,Іллінецька,Ukr,151.6209677419355,7,131,0.05343511450381679
UA05020110000052014,Липовецька,Eng,147.31034482758622,2,31,0.06451612903225806
UA05020110000052014,Липовецька,Hist,136.16883116883116,14,91,0.15384615384615385
UA05020110000052014,Липовецька,Math,127.7843137254902,29,80,0.3625
UA05020110000052014,Липовецька,UML,145.56875,5,85,0.058823529411764705
UA05020110000052014,Липовецька,Ukr,142.93684210526317,5,100,0.05
UA05020130000056031,Літинська,Eng,135,2,31,0.06451612903225806
UA05020130000056031,Літинська,Hist,135.5810810810811,15,89,0.16853932584269662
UA05020130000056031,Літинська,Math,131.80357142857142,45,101,0.44554455445544555
UA05020130000056031,Літинська,UML,143.13253012048193,9,92,0.09782608695652174
UA05020130000056031,Літинська,Ukr,140.16037735849056,8,114,0.07017543859649122
UA05020150000074651,Лука-Мелешківська,Eng,149.92307692307693,3,16,0.1875
UA05020150000074651,Лука-Мелешківська,Hist,133.95833333333334,9,33,0.2727272727272727
UA05020150000074651,Лука-Мелешківська,Math,136.92857142857142,15,43,0.3488372093023256
UA05020150000074651,Лука-Мелешківська,UML,136.55555555555554,3,39,0.07692307692307693
UA05020150000074651,Лука-Мелешківська,Ukr,138.58536585365854,3,44,0.06818181818181818
UA05020170000049432,Немирівська,Eng,141.47368421052633,2,59,0.03389830508474576
UA05020170000049432,Немирівська,Hist,143.3768115942029,6,75,0.08
UA05020170000049432,Немирівська,Math,134.27868852459017,20,81,0.24691358024691357
UA05020170000049432,Немирівська,UML,156.77564102564102,3,81,0.037037037037037035
UA05020170000049432,Немирівська,Ukr,150.88888888888889,4,112,0.03571428571428571
UA05020190000015755,Оратівська,Eng,140.8,4,14,0.2857142857142857
UA05020190000015755,Оратівська,Hist,139.20634920634922,10,73,0.136986301369863
UA05020190000015755,Оратівська,Math,132.96363636363637,17,72,0.2361111111111111
UA05020190000015755,Оратівська,UML,144.15625,5,69,0.07246376811594203
UA05020190000015755,Оратівська,Ukr,141.77631578947367,5,81,0.06172839506172839
UA05020210000033427,Погребищенська,Eng,142.8,4,34,0.11764705882352941
UA05020210000033427,Погребищенська,Hist,139.20634920634922,19,82,0.23170731707317074
UA05020210000033427,Погребищенська,Math,132.7826086956522,29,98,0.29591836734693877
UA05020210000033427,Погребищенська,UML,141.6534090909091,5,93,0.053763440860215055
UA05020210000033427,Погребищенська,Ukr,144.30526315789473,5,100,0.05
UA05020230000029909,Стрижавська,Eng,152.94736842105263,1,20,0.05
UA05020230000029909,Стрижавська,Hist,142.52083333333334,9,57,0.15789473684210525
UA05020230000029909,Стрижавська,Math,134.7173913043478,21,67,0.31343283582089554
UA05020230000029909,Стрижавська,UML,152.15686274509804,3,54,0.05555555555555555
UA05020230000029909,Стрижавська,Ukr,150.4126984126984,5,68,0.07352941176470588
UA05020250000055470,Сутисківська,Eng,138.71428571428572,0,7,0
UA05020250000055470,Сутисківська,Hist,146.77777777777777,3,21,0.14285714285714285
UA05020250000055470,Сутисківська,Math,148.5,9,19,0.47368421052631576
UA05020250000055470,Сутисківська,UML,157.52631578947367,2,21,0.09523809523809523
UA05020250000055470,Сутисківська,Ukr,150.0909090909091,2,24,0.08333333333333333
UA05020270000044358,Тиврівська,Eng,150.19230769230768,4,30,0.13333333333333333
UA05020270000044358,Тиврівська,Hist,140.61475409836066,13,74,0.17567567567567569
UA05020270000044358,Тиврівська,Math,150.42465753424656,23,96,0.23958333333333334
UA05020270000044358,Тиврівська,UML,152.9527027027027,2,76,0.02631578947368421
UA05020270000044358,Тиврівська,Ukr,149.18367346938774,5,103,0.04854368932038835
UA05020290000092626,Турбівська,Eng,124.16666666666667,3,21,0.14285714285714285
UA05020290000092626,Турбівська,Hist,130.36111111111111,15,51,0.29411764705882354
UA05020290000092626,Турбівська,Math,127.57142857142857,22,57,0.38596491228070173
UA05020290000092626,Турбівська,UML,134.45192307692307,6,58,0.10344827586206896
UA05020290000092626,Турбівська,Ukr,134.75438596491227,6,63,0.09523809523809523
UA05020310000080026,Якушинецька,Eng,150.47058823529412,4,21,0.19047619047619047
UA05020310000080026,Якушинецька,Hist,140.41666666666666,6,42,0.14285714285714285
UA05020310000080026,Якушинецька,Math,130.1851851851852,15,42,0.35714285714285715
UA05020310000080026,Якушинецька,UML,143.63636363636363,2,46,0.043478260869565216
UA05020310000080026,Якушинецька,Ukr,145.79166666666666,5,53,0.09433962264150944
UA05040010000022470,Бершадська,Eng,137.95,11,91,0.12087912087912088
UA05040010000022470,Бершадська,Hist,137.35374149659864,27,174,0.15517241379310345
UA05040010000022470,Бершадська,Math,137.046875,74,202,0.36633663366336633
UA05040010000022470,Бершадська,UML,145.72994652406416,10,197,0.050761421319796954
UA05040010000022470,Бершадська,Ukr,146.3256880733945,15,233,0.06437768240343347
UA05040030000050131,Гайсинська,Eng,136.47252747252747,8,99,0.08080808080808081
UA05040030000050131,Гайсинська,Hist,139.34516129032258,20,175,0.11428571428571428
UA05040030000050131,Гайсинська,Math,138.1611111111111,51,231,0.22077922077922077
UA05040030000050131,Гайсинська,UML,148.83862433862433,7,196,0.03571428571428571
UA05040030000050131,Гайсинська,Ukr,149.72908366533864,8,259,0.03088803088803089
UA05040050000080930,Дашівська,Eng,138.83333333333334,2,20,0.1
UA05040050000080930,Дашівська,Hist,128.72727272727272,9,42,0.21428571428571427
UA05040050000080930,Дашівська,Math,130.65853658536585,12,53,0.22641509433962265
UA05040050000080930,Дашівська,UML,143.65116279069767,5,48,0.10416666666666667
UA05040050000080930,Дашівська,Ukr,146.4313725490196,7,58,0.1206896551724138
UA05040070000093188,Джулинська,Eng,144.27272727272728,3,14,0.21428571428571427
UA05040070000093188,Джулинська,Hist,130.41176470588235,14,48,0.2916666666666667
UA05040070000093188,Джулинська,Math,134.5,24,52,0.46153846153846156
UA05040070000093188,Джулинська,UML,133.7325581395349,7,50,0.14
