область,назва громади,петиції,консультації,громадський бюджет,відкрита громада
Донецька область,авдіївська,1,0,0,0
Вінницька область,агрономічна,1,1,0,0
Дніпропетровська область,апостолівська,0,1,0,0
Тернопільська область,байковецька,0,0,1,1
Харківська область,балаклійська,1,0,1,0
Одеська область,балтська,1,0,1,1
Вінницька область,барська,0,0,0,1
Донецька область,бахмутська,1,1,1,0
Миколаївська область,баштанська,1,0,0,0
Житомирська область,бердичівська,1,0,0,0
Закарпатська область,берегівська,0,0,0,1
Тернопільська область,бережанська,0,0,1,0
Вінницька область,бершадська,1,1,1,0
Одеська область,білгород-дністровська,1,1,1,0
Запорізька область,біленьківська,0,0,1,0
Івано-Франківська область,білоберізька,0,0,1,0
Луганська область,біловодська,0,1,1,0
Київська область,білогородська,0,0,1,0
Черкаська область,білозірська,0,0,1,0
Сумська область,білопільська,1,0,1,1
Київська область,білоцерківська,1,0,1,1
Полтавська область,білоцерківська,0,0,1,0
Івано-Франківська область,богородчанська,0,0,1,0
Київська область,богуславська,1,0,1,0
Івано-Франківська область,болехівська,1,1,1,0
Львівська область,бориславська,1,1,1,0
Київська область,бориспільська,0,1,0,0
Тернопільська область,борщівська,1,0,0,0
Вінницька область,брацлавська,1,1,1,0
Київська область,броварська,0,0,1,1
Львівська область,бродівська,1,1,1,0
Івано-Франківська область,брошнів-осадська,0,1,0,0
Житомирська область,брусилівська,0,0,1,0
Івано-Франківська область,букачівська,0,1,0,0
Івано-Франківська область,бурштинська,1,1,1,1
Київська область,бучанська,1,0,0,0
Тернопільська область,бучацька,1,0,1,0
Дніпропетровська область,вакулівська,1,1,0,0
Рівненська область,вараська,1,0,1,1
Київська область,васильківська,1,1,1,1
Черкаська область,ватутінська,1,0,0,0
Закарпатська область,великоберезнянська,0,0,0,1
Тернопільська область,великоберезовицька,1,1,1,0
Закарпатська область,великобичківська,0,1,0,0
Полтавська область,великобудищанська,0,1,0,0
Тернопільська область,великогаївська,0,0,1,0
Тернопільська область,великодедеркальська,0,0,1,0
Донецька область,великоновосілківська,0,0,1,0
Сумська область,великописарівська,1,0,0,0
Черкаська область,великохутірська,1,1,1,0
Дніпропетровська область,верхівцівська,0,1,0,0
Дніпропетровська область,верхньодніпровська,0,1,0,0
Івано-Франківська область,верховинська,0,1,0,0
Запорізька область,веселівська,0,0,0,1
