Hromada_category,Region,Raion,Hromada,Hromada_code,Main_council_code,Council_codes_v1,Decision_date_v1,Council_codes_v2,Decision_date_v2,Council_codes_v3,Decision_date_v3,Council_codes_v4,Decision_date_v4,Council_codes_v5,Decision_date_v5,Council_codes_final,voluntary_amalgamation
Ради-громади (2020),Дніпропетровська область,Дніпровський район,Дніпровська міська громада,UA12020010000033698,1210100000,1210100000,2020-08-16,,,,,,,,,1210100000,0
Ради-громади (2020),Дніпропетровська область,Криворізький район,Криворізька міська громада,UA12060170000091033,1211000000,1211000000,2020-08-16,,,,,,,,,1211000000,0
Ради-громади (2020),Дніпропетровська область,Нікопольський район,Нікопольська міська громада,UA12080050000062712,1211600000,1211600000,2020-08-16,,,,,,,,,1211600000,0
Ради-громади (2020),Дніпропетровська область,Новомосковський район,Новомосковська міська громада,UA12100070000011492,1211900000,1211900000,2020-08-16,,,,,,,,,1211900000,0
Ради-громади (2020),Дніпропетровська область,Павлоградський район,Павлоградська міська громада,UA12120070000057518,1212400000,1212400000,2020-08-16,,,,,,,,,1212400000,0
Ради-громади (2020),Дніпропетровська область,Синельниківський район,Першотравенська міська громада,UA12140210000089021,1212600000,1212600000,2020-08-16,,,,,,,,,1212600000,0
Ради-громади (2020),Дніпропетровська область,Синельниківський район,Синельниківська міська громада,UA12140310000078816,1213000000,1213000000,2020-08-16,,,,,,,,,1213000000,0
Ради-громади (2020),Дніпропетровська область,Павлоградський район,Тернівська міська громада,UA12120090000031622,1213500000,1213500000,2020-08-16,,,,,,,,,1213500000,0
Ради-громади (2020),Донецька область,Покровський район,Авдіївська міська громада,UA14160010000086090,1410200000,1410200000,2020-08-16,,,,,,,,,1410200000,0
Ради-громади (2020),Закарпатська область,Ужгородський район,Ужгородська міська громада,UA21100230000083101,2110100000,2110100000,2020-08-16,,,,,,,,,2110100000,0
Ради-громади (2020),Запорізька область,Запорізький район,Запорізька міська громада,UA23060070000082704,2310100000,2310100000,2020-08-16,,,,,,,,,2310100000,0
Ради-громади (2020),Запорізька область,Мелітопольський район,Мелітопольська міська громада,UA23080070000068953,2310700000,2310700000,2020-08-16,,,,,,,,,2310700000,0
Ради-громади (2020),Запорізька область,Василівський район,Енергодарська міська громада,UA23040110000019947,2312500000,2312500000,2020-08-16,,,,,,,,,2312500000,0
Ради-громади (2020),Київська область,Бучанський район,Коцюбинська селищна громада,UA32080170000086616,3210946200,3210946200,2020-08-16,,,,,,,,,3210946200,0
Ради-громади (2020),Київська область,Вишгородський район,Славутицька міська громада,UA32100130000093505,3211500000,3211500000,2020-08-16,,,,,,,,,3211500000,0
Ради-громади (2020),Київська область,Фастівський район,Чабанівська селищна громада,UA32140170000038368,3222457400,3222457400,2020-08-16,,,,,,,,,3222457400,0
