legal_entity_id,legal_entity_name,legal_entity_edrpou,care_type,property_type,legal_entity_email,legal_entity_website,legal_entity_phone,legal_entity_owner_name,registration_area,registration_settlement,registration_address,lat,lng
92915c43-8745-409c-b971-8856eb348468,"Комунальне некомерційне підприємство Сумської обласної ради ""Обласний  медичний центр паліативної  допомоги""",22591616,Спеціалізована,Комунальна,lebsan2016@gmail.com,"",+380544551677,Рева Віктор Михайлович,СУМСЬКА,ЛЕБЕДИН(З),"Україна, 42200, Сумська обл., місто Лебедин(з), вул.Гастелло, будинок 98",50.5495954,34.4762916
73f8033c-1e8b-4e6e-ab31-0daf032edf3d,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ДРУЖКІВСЬКА МІСЬКА ЛІКАРНЯ №2"" ДРУЖКІВСЬКОЇ МІСЬКОЇ РАДИ",05492870,Спеціалізована,Комунальна,mega.gorbolnica2@ukr.net,http://www.dml2.info,+380508269042,Нещотний Сергій Федорович,ДОНЕЦЬКА,ДРУЖКІВКА,"Україна, 84206, Донецька обл., місто Дружківка, ВУЛИЦЯ МАШИНОБУДІВНИКІВ, будинок 56",48.6105625,37.5383534
fb5855d2-2ecf-4f3a-8e3e-a3bd98c5806c,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""БОГОРОДЧАНСЬКА ЦЕНТРАЛЬНА ЛІКАРНЯ"" БОГОРОДЧАНСЬКОЇ СЕЛИЩНОЇ РАДИ",01993351,Спеціалізована,Комунальна,bcrl.prgol@i.ua,"",+380347121228,Коляджин Іван Миколайович,ІВАНО-ФРАНКІВСЬКА,БОГОРОДЧАНИ,"Україна, 77701, Івано-Франківська обл., Богородчанський р-н, селище міського типу Богородчани, ВУЛИЦЯ ШЕВЧЕНКА, будинок 35",48.8111954,24.5439823
e0dda5c0-c240-4b99-a32f-abdcc1c6a29d,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІЛЬНЯНСЬКА БАГАТОПРОФІЛЬНА ЛІКАРНЯ"" ВІЛЬНЯНСЬКОЇ МІСЬКОЇ РАДИ",01992914,Спеціалізована,Комунальна,ivasenkoo998@gmail.com,volnlekar.com.ua,+380614345111,Іващенко  Олег Петрович,ЗАПОРІЗЬКА,ВІЛЬНЯНСЬК,"Україна, 70002, Запорізька обл., Вільнянський р-н, місто Вільнянськ, ПРОВУЛОК ГНАРОВСЬКОЇ, будинок 6",47.9403225,35.4328125
03f0e063-7698-41d7-89a2-1655e2848de4,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ТЕПЛОДАРСЬКА ЦЕНТРАЛЬНА МІСЬКА ЛІКАРНЯ"" ТЕПЛОДАРСЬКОЇ МІСЬКОЇ РАДИ",02063387,Первинна,Комунальна,teplodar.cmltmr@gmail.com,"",+380487053495,Запорожан Майя Афанасіївна,ОДЕСЬКА,ТЕПЛОДАР(ПН),"Україна, 65490, Одеська обл., місто Теплодар(пн), ВУЛИЦЯ ПОЛЬОВА, будинок 2",46.5007214,30.3238646
b48c43b9-b4d8-4e0b-88ab-a2367ebb0e28,КАРАКЕВИЧ ЮРІЙ МИХАЙЛОВИЧ,ФОП,Первинна,ФОП,likarjura@ukr.net,"",+380674923484,Каракевич Юрій Михайлович,ЛЬВІВСЬКА,ДРОГОБИЧ,"Україна, 82100, Львівська обл., місто Дрогобич, ВУЛ. СВЯТОГО ЮРА, будинок 21, квартира 1",49.3459166,23.5054365
beadf323-64b7-4bb3-8838-1a3e88bdbcef,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АПТЕКИ МЕДИЧНОЇ АКАДЕМІЇ""",30011521,Первинна,Приватна (без ФОП),ipedan@ama.dp.ua,https://www.ama.dp.ua,+380563749925,Гончаров Сергій Іванович,ДНІПРОПЕТРОВСЬКА,ДНІПРО,"Україна, 49106, Дніпропетровська обл., місто Дніпро, ПРОСПЕКТ ГЕРОЇВ, будинок 32",48.4585602,35.0636817
2d4c75a9-c13f-4fe4-801b-48c61c841fc7,"Комунальне некомерційне підприємство ""Великомостівська міська лікарня"" Великомостівської міської ради Львівської області",41840992,Спеціалізована,Комунальна,velikomostivskaknp@gmail.com,"",+380976003347,ДЕМ'ЯНЧУК ІГОР АРСЕНОВИЧ,ЛЬВІВСЬКА,ВЕЛИКІ МОСТИ,"Україна, 80074, Львівська обл., Червоноградський р-н, місто Великі Мости, вул.Сагайдачного, будинок 39",50.2457179,24.1451551
46c4bc69-ed09-4903-bede-82da8d84c89f,КРАВЧЕНКО РОМАНА БОГДАНІВНА,ФОП,Первинна,ФОП,smajlyk.2021@gmail.com,"",+380677847572,Кравченко Романа Богданівна,ЛЬВІВСЬКА,САМБІР,"Україна, 81400, Львівська обл., місто Самбір, вул.Середня, будинок 66",49.5207147,23.2065501
c5e65de7-69bc-460d-b88c-93075ad35040,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ЯМПІЛЬСЬКИЙ МЕДИЧНИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ЯМПІЛЬСЬКОЇ МІСЬКОЇ РАДИ",37636913,Первинна,Комунальна,yampil_medcentr@i.ua,"","+380433622558, +380433622558",Плахотна Галина Пилипівна,ВІННИЦЬКА,ЯМПІЛЬ,"Україна, 24500, Вінницька обл., Могилів-Подільський р-н, місто Ямпіль, вул.Сонячна, будинок 4",48.2441219,28.2765218
888f200e-cb60-4147-8fea-925d6046e06a,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЕНДОТЕХНОМЕД""",34315675,Спеціалізована,Приватна (без ФОП),pmg@garvis.com.ua,garvis.com.ua,"+380673531020, +380567941020",Березницький Віталій Якович,ДНІПРОПЕТРОВСЬКА,ДНІПРО,"Україна, 49074, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ БАТУМСЬКА, будинок 7А",48.5173497,35.0784347
330ca933-0f70-4d9c-95aa-953a4a0e3810,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО БЕЗДРИЦЬКОЇ СІЛЬСЬКОЇ РАДИ ""АМБУЛАТОРІЯ ЗАГАЛЬНОЇ ПРАКТИКИ-СІМЕЙНОЇ МЕДИЦИНИ С.БЕЗДРИК""",41072553,Первинна,Комунальна,bezdryk1@ukr.net,"",+380542778727,Грибань Роман Миколайович,СУМСЬКА,БЕЗДРИК,"Україна, 42350, Сумська обл., Сумський р-н, село Бездрик, ВУЛИЦЯ СУМСЬКА, будинок 20",50.8619468,34.9459269
717670e2-b2c0-4af5-b6f2-3010590e473a,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ГЛУХІВСЬКА МІСЬКА ЛІКАРНЯ"" ГЛУХІВСЬКОЇ МІСЬКОЇ РАДИ",02007517,Спеціалізована,Комунальна,glav.gcrl@gmail.com,"",+380993524618,Барахович Валентина Григорівна,СУМСЬКА,ГЛУХІВ,"Україна, 41400, Сумська обл., місто Глухів, ВУЛИЦЯ ІНСТИТУТСЬКА, будинок 3",51.6742639,33.9172495
c3f7e3b6-8249-42bc-9b97-4b06a4aa730d,НЕВТРИНІС  НАТАЛІЯ ВАЛЕРІЇВНА,ФОП,Первинна,ФОП,nataha.new85@gmail.com,"",+380996644400,Невтриніс Наталія Валеріївна,ХАРКІВСЬКА,ЛОЗОВА,"Україна, 64606, Харківська обл., місто Лозова, мікрорайон 2, будинок 57, квартира 7",48.8902362,36.308001
9ce74ace-a094-42df-ba28-0bf1cec13eba,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КИЇВСЬКОЇ ОБЛАСНОЇ РАДИ ""ОБЛАСНЕ ПСИХІАТРИЧНО-НАРКОЛОГІЧНЕ МЕДИЧНЕ ОБ'ЄДНАННЯ""",01994793,Спеціалізована,Комунальна,glevakha@gmail.com,glevakhamedunion.org,+380457131166,Зільберблат Геннадій Михайлович,КИЇВСЬКА,ГЛЕВАХА,"Україна, 08631, Київська обл., Васильківський р-н, селище міського типу Глеваха, ВУЛИЦЯ ВОКЗАЛЬНА, будинок 8",50.2540858,30.3113329
dcf7bd3a-c37d-48c1-afa8-44ae316a2c5b,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""СПЕЦІАЛІЗОВАНИЙ МЕДИКО-РЕАБІЛІТАЦІЙНИЙ ЦЕНТР ДЛЯ ДІТЕЙ ТА ПІДЛІТКІВ"" ДНІПРОПЕТРОВСЬКОЇ ОБЛАСНОЇ РАДИ""",01985162,Спеціалізована,Комунальна,sanatdet@ukr.net,detsanat.dp.ua,+380637960148,Коваленко Тетяна Юріївна,ДНІПРОПЕТРОВСЬКА,ДНІПРО,"Україна, 49040, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ ТОПОЛИНА, будинок 41",48.394489,35.0202222
9f9bd2ec-e9c4-4f6d-ad30-97261930f3c3,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ОЛЕВСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ ДОПОМОГИ"" ОЛЕВСЬКОЇ МІСЬКОЇ РАДИ",38562298,Первинна,Комунальна,olevskrcpmsd@gmail.com,https://olevsk-centr.pmsd.org.ua,+380971248914,Мельчинська Наталія Володимирівна,ЖИТОМИРСЬКА,ОЛЕВСЬК,"Україна, 11001, Житомирська обл., Коростенський р-н, місто Олевськ, вул.Свято - Миколаївська, будинок 46",51.2207559,27.6442211
93521e92-f559-4fdf-82d6-a27cfe7d064f,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ М.ТЕРНІВКИ"" ТЕРНІВСЬКОЇ МІСЬКОЇ РАДИ",37463503,Первинна,Комунальна,ternovkacpmsp@ukr.net,"",+380501470105,Пічугова Світлана Олександрівна,ДНІПРОПЕТРОВСЬКА,ТЕРНІВКА,"Україна, 51500, Дніпропетровська обл., місто Тернівка, ВУЛИЦЯ МАЯКОВСЬКОГО, будинок 22",48.5299647,36.0780258
76c85138-9b1b-4292-af21-95bdb8dc28c5,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ ПОЛОНСЬКОЇ МІСЬКОЇ РАДИ ПОЛОНСЬКОЇ МІСЬКОЇ ОБ'ЄДНАНОЇ ТЕРИТОРІАЛЬНОЇ ГРОМАДИ""",41877252,Первинна,Комунальна,centrpmsdpolonne@ukr.net,"",+380384320660,Сімчера Іван Васильович,ХМЕЛЬНИЦЬКА,ПОЛОННЕ,"Україна, 30500, Хмельницька обл., Полонський р-н, місто Полонне, ВУЛИЦЯ ЛЕСІ УКРАЇНКИ, будинок 177",50.1218594,27.4919276
34112ca7-06aa-487d-89dd-9c143294e2e8,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ПОЛІКЛІНІЧНЕ ОБ'ЄДНАННЯ ""КРОПИВНИЦЬКОЇ  МІСЬКОЇ РАДИ""",36421504,Первинна,Комунальна,kzpo@krmr.gov.ua,"",+380522332050,Амбарна Олена Миколаївна,КІРОВОГРАДСЬКА,КРОПИВНИЦЬКИЙ,"Україна, 25009, Кіровоградська обл., місто Кропивницький, ВУЛИЦЯ ГАБДРАХМАНОВА, будинок 5",48.5043211,32.2475668
