"","hromada_name","hromada_name_en"
"1","Агрономічна","Agronomíčna"
"2","Вінницька","Vínnicʹka"
"3","Вороновицька","Voronovicʹka"
"4","Гніванська","Gnívansʹka"
"5","Іллінецька","Íllínecʹka"
"6","Липовецька","Lipovecʹka"
"7","Літинська","Lítinsʹka"
"8","Лука-Мелешківська","Luka-Meleškívsʹka"
"9","Немирівська","Nemirívsʹka"
"10","Оратівська","Oratívsʹka"
"11","Погребищенська","Pogrebiŝensʹka"
"12","Стрижавська","Strižavsʹka"
"13","Сутисківська","Sutiskívsʹka"
"14","Тиврівська","Tivrívsʹka"
"15","Турбівська","Turbívsʹka"
"16","Якушинецька","Âkušinecʹka"
"17","Бершадська","Beršadsʹka"
"18","Гайсинська","Gajsinsʹka"
"19","Дашівська","Dašívsʹka"
"20","Джулинська","Džulinsʹka"
"21","Краснопільська","Krasnopílʹsʹka"
"22","Кунківська","Kunkívsʹka"
"23","Ладижинська","Ladižinsʹka"
"24","Ободівська","Obodívsʹka"
"25","Ольгопільська","Olʹgopílʹsʹka"
"26","Райгородська","Rajgorodsʹka"
"27","Соболівська","Sobolívsʹka"
"28","Теплицька","Teplicʹka"
"29","Тростянецька","Trostânecʹka"
"30","Чечельницька","Čečelʹnicʹka"
"31","Барська","Barsʹka"
"32","Джуринська","Džurinsʹka"
"33","Жмеринська","Žmerinsʹka"
"34","Копайгородська","Kopajgorodsʹka"
"35","Мурафська","Murafsʹka"
"36","Северинівська","Severinívsʹka"
"37","Станіславчицька","Staníslavčicʹka"
"38","Шаргородська","Šargorodsʹka"
"39","Бабчинецька","Babčinecʹka"
"40","Вендичанська","Vendičansʹka"
"41","Могилів-Подільська","Mogilív-Podílʹsʹka"
"42","Мурованокуриловецька","Murovanokurilovecʹka"
"43","Чернівецька","Černívecʹka"
"44","Ямпільська","Âmpílʹsʹka"
"45","Яришівська","Ârišívsʹka"
"46","Брацлавська","Braclavsʹka"
"47","Вапнярська","Vapnârsʹka"
"48","Городківська","Gorodkívsʹka"
"49","Крижопільська","Križopílʹsʹka"
"50","Піщанська","Píŝansʹka"
"51","Студенянська","Studenânsʹka"
"52","Томашпільська","Tomašpílʹsʹka"
"53","Тульчинська","Tulʹčinsʹka"
"54","Шпиківська","Špikívsʹka"
"55","Глуховецька","Gluhovecʹka"
"56","Жданівська","Ždanívsʹka"
"57","Іванівська","Ívanívsʹka"
"58","Калинівська","Kalinívsʹka"
"59","Козятинська","Kozâtinsʹka"
"60","Махнівська","Mahnívsʹka"
"61","Самгородоцька","Samgorodocʹka"
"62","Уланівська","Ulanívsʹka"
"63","Хмільницька","Hmílʹnicʹka"
"64","Володимир-Волинська","Volodimir-Volinsʹka"
"65","Затурцівська","Zaturcívsʹka"
"66","Зимнівська","Zimnívsʹka"
"67","Іваничівська","Ívaničívsʹka"
"68","Литовезька","Litovezʹka"
"69","Локачинська","Lokačinsʹka"
"70","Нововолинська","Novovolinsʹka"
"71","Оваднівська","Ovadnívsʹka"
"72","Павлівська","Pavlívsʹka"
"73","Поромівська","Poromívsʹka"
"74","Устилузька","Ustiluzʹka"
"75","Камінь-Каширська","Kamínʹ-Kaširsʹka"
"76","Любешівська","Lûbešívsʹka"
"77","Маневицька","Manevicʹka"
"78","Прилісненська","Prilísnensʹka"
"79","Сошичненська","Sošičnensʹka"
"80","Велимченська","Velimčensʹka"
"81","Велицька","Velicʹka"
"82","Вишнівська","Višnívsʹka"
"83","Голобська","Golobsʹka"
"84","Головненська","Golovnensʹka"
"85","Дубечненська","Dubečnensʹka"
"86","Дубівська","Dubívsʹka"
"87","Заболоттівська","Zabolottívsʹka"
"88","Забродівська","Zabrodívsʹka"
"89","Ковельська","Kovelʹsʹka"
"90","Колодяжненська","Kolodâžnensʹka"
"91","Луківська","Lukívsʹka"
"92","Люблинецька","Lûblinecʹka"
"93","Любомльська","Lûbomlʹsʹka"
"94","Поворська","Povorsʹka"
"95","Ратнівська","Ratnívsʹka"
"96","Рівненська","Rívnensʹka"
"97","Самарівська","Samarívsʹka"
"98","Сереховичівська","Serehovičívsʹka"
"99","Смідинська","Smídinsʹka"
"100","Старовижівська","Starovižívsʹka"
"101","Турійська","Turíjsʹka"
"102","Шацька","Šacʹka"
"103","Берестечківська","Berestečkívsʹka"
"104","Боратинська","Boratinsʹka"
"105","Городищенська","Gorodiŝensʹka"
"106","Горохівська","Gorohívsʹka"
"107","Доросинівська","Dorosinívsʹka"
"108","Ківерцівська","Kívercívsʹka"
"109","Колківська","Kolkívsʹka"
"110","Копачівська","Kopačívsʹka"
"111","Луцька","Lucʹka"
"112","Мар’янівська","Mar’ânívsʹka"
"113","Олицька","Olicʹka"
"114","Підгайцівська","Pídgajcívsʹka"
"115","Рожищенська","Rožiŝensʹka"
"116","Торчинська","Torčinsʹka"
"117","Цуманська","Cumansʹka"
"118","Дніпровська","Dníprovsʹka"
"119","Китайгородська","Kitajgorodsʹka"
"120","Любимівська","Lûbimívsʹka"
"121","Ляшківська","Lâškívsʹka"
"122","Миколаївська","Mikolaí̈vsʹka"
"123","Могилівська","Mogilívsʹka"
"124","Новоолександрівська","Novooleksandrívsʹka"
"125","Новопокровська","Novopokrovsʹka"
"126","Обухівська","Obuhívsʹka"
"127","Петриківська","Petrikívsʹka"
"128","Підгородненська","Pídgorodnensʹka"
"129","Святовасилівська","Svâtovasilívsʹka"
"130","Слобожанська","Slobožansʹka"
"131","Солонянська","Solonânsʹka"
"132","Сурсько-Литовська","Sursʹko-Litovsʹka"
"133","Царичанська","Caričansʹka"
"134","Чумаківська","Čumakívsʹka"
"135","Божедарівська","Božedarívsʹka"
"136","Верхівцівська","Verhívcívsʹka"
"137","Верхньодніпровська","Verhnʹodníprovsʹka"
"138","Вільногірська","Vílʹnogírsʹka"
"139","Жовтоводська","Žovtovodsʹka"
"140","Затишнянська","Zatišnânsʹka"
"141","Кам’янська","Kam’ânsʹka"
"142","Криничанська","Kriničansʹka"
"143","Лихівська","Lihívsʹka"
"144","П’ятихатська","P’âtihatsʹka"
"145","Саксаганська","Saksagansʹka"
"146","Апостолівська","Apostolívsʹka"
"147","Вакулівська","Vakulívsʹka"
"148","Глеюватська","Gleûvatsʹka"
"149","Гречаноподівська","Grečanopodívsʹka"
"150","Грушівська","Grušívsʹka"
"151","Девладівська","Devladívsʹka"
"152","Зеленодольська","Zelenodolʹsʹka"
"153","Карпівська","Karpívsʹka"
"154","Криворізька","Krivorízʹka"
"155","Лозуватська","Lozuvatsʹka"
"156","Нивотрудівська","Nivotrudívsʹka"
"157","Новолатівська","Novolatívsʹka"
"158","Новопільська","Novopílʹsʹka"
"159","Софіївська","Sofíí̈vsʹka"
"160","Широківська","Širokívsʹka"
"161","Марганецька","Marganecʹka"
"162","Мирівська","Mirívsʹka"
"163","Нікопольська","Níkopolʹsʹka"
"164","Першотравневська","Peršotravnevsʹka"
"165","Покровська","Pokrovsʹka"
"166","Томаківська","Tomakívsʹka"
"167","Червоногригорівська","Červonogrigorívsʹka"
"168","Губиниська","Gubinisʹka"
"169","Личківська","Ličkívsʹka"
"170","Магдалинівська","Magdalinívsʹka"
"171","Новомосковська","Novomoskovsʹka"
"172","Перещепинська","Pereŝepinsʹka"
"173","Черкаська","Čerkasʹka"
"174","Чернеччинська","Černeččinsʹka"
"175","Богданівська","Bogdanívsʹka"
"176","Вербківська","Verbkívsʹka"
"177","Межиріцька","Mežirícʹka"
"178","Павлоградська","Pavlogradsʹka"
"179","Тернівська","Ternívsʹka"
"180","Троїцька","Troí̈cʹka"
"181","Юр’ївська","Ûr’í̈vsʹka"
"182","Брагинівська","Braginívsʹka"
"183","Васильківська","Vasilʹkívsʹka"
"184","Великомихайлівська","Velikomihajlívsʹka"
"185","Дубовиківська","Dubovikívsʹka"
"186","Зайцівська","Zajcívsʹka"
"187","Іларіонівська","Ílaríonívsʹka"
