"","full_name","edebo","ouo_validated","short_name","status","type","property_type","koatuu","oblast","settlement","address","main_institution","managing_body","phone","fax","mail","site","director","is_core","is_rural","is_mountain","is_internat","licensed_volume","settlement_name","settlement_code","hromada_name","hromada_code","raion_name","raion_code","oblast_name","oblast_code","match_status_koatuu"
"1","Антонівський ліцей Томашпільської селищної ради Вінницької області",135269,"так","Антонівський ліцей","працює","школа","Комунальна","0523980601","Вінницька область","с. Антонівка, Томашпільський район, Вінницька область","вулиця Зарічна, 164",NA,"Відділ освіти, спорту, культури та туризму Томашпільської селищної ради","(04348)55432",NA,"antonovka_school@ukr.net","http://ant.tmedu.vn.ua","Директор Павлова Тетяна Дмитрівна","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"2","Байраківська філія ім. Максима Шимка Ліцею №2 м. Немирова Немирівської міської ради",142092,"так","Байраківська філія ім. Максима Шимка Ліцею №2 м. Немирова","працює","гімназія","Комунальна","0523080201","Вінницька область","с. Байраківка, Немирівський район, Вінницька область","вулиця Шкільна, 2",NA,"Відділ освіти Немирівської міської ради","(04331)34440",NA,"bayrakivka@gmail.com","https://bayrakivka.e-schools.info/","Завідувач філією Гнатенко Людмила Олексіївна","Філія","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"3","Білківський ліцей Дашівської селищної ради",139867,"так","Білківський ліцей","працює","ліцей","Комунальна","0521280803","Вінницька область","с. Білки, Іллінецький район, Вінницька область","вулиця Жовтнева, 1",NA,"Відділ освіти, культури, молоді та спорту Дашівської селищної ради","(04345)3-45-35",NA,"bilki.shkola@ukr.net","http://bilky.pp.ua/","Директор Бартко Антоніна Володимирівна","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"4","Бродецький ліцей Глуховецької селищної ради",143652,"так","Бродецький ліцей","працює","ліцей","Комунальна","0521455300","Вінницька область","смт Бродецьке, Козятинський район, Вінницька область","вулиця Робітнича, 29",NA,"Відділ освіти, культури, молоді та спорту Глуховецької селищної ради Козятинського району Вінницької області","(04342)36-3-99",NA,"brodietska61@ukr.net","brodeckii-znvk.kl.com.ua","Директор Кудрявець Валентин Йосипович","ні","ні","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"5","Філія - Букатинська загальноосвітня школа І ступеня Комунального закладу ""Бабчинецька загальноосвітня школа І - ІІІ ступенів Бабчинецької сільської ради Могилів-Подільського району Вінницької області""опорного закладу Бабчинецького освітнього округу",144046,"так","Букатинська ЗОШ","працює","школа","Комунальна","0524982003","Вінницька область","с. Букатинка, Чернівецький район, Вінницька область","вулиця Варшка, 47",NA,"Відділ освіти, культури, молоді та спорту Бабчинецької сільської ради","(0974)079296",NA,"olena93dmitrieva@gmail.com",NA,"Завідувач філією Кирилюк Валентина Миколаївна","Філія","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"6","Вапнярківська гімназія Томашпільської селищної ради Вінницької області",135270,"так","Вапнярківська гімназія","працює","школа","Комунальна","0523983802","Вінницька область","с. Вапнярки, Томашпільський район, Вінницька область","вулиця Маяковського, 1",NA,"Відділ освіти, спорту, культури та туризму Томашпільської селищної ради","(04348)45386",NA,"vapniarku.school@ukr.net","http://vap-school.ucoz.net/","Карпенко Олена Анатоліївна","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"7","Василівська філія Іллінецької загальноосвітньої школи І- III ступенів №1 Іллінецької міської ради Вінницької області",140520,"так","Василівська філія Іллінецької загальноосвітньої школи І- III ступенів №1 Іллінецької міської ради Вінницької області","ліквідовано","школа","Комунальна","0521281203","Вінницька область","с. Василівка, Іллінецький район, Вінницька область","вулиця Мазура, 15",NA,"Управління освіти Іллінецької міської ради","(04345)2-63-50",NA,"vasilivka_078@ukr.net",NA,"Завідувач філією Лисікова Валентина Миколаївна","Філія","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"8","Вилянська гімназія Томашпільської селищної ради Вінницької області",135357,"так","Вилянська гімназія","працює","школа","Комунальна","0523981501","Вінницька область","с. Вила, Томашпільський район, Вінницька область","вулиця Молодіжна, 7",NA,"Відділ освіти, спорту, культури та туризму Томашпільської селищної ради","(04348)4-75-35",NA,"vila.school@ukr.net","http://vila.school.e-schools.info","Директор Вихованець Любов Павлівна","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"9","Вило-Ярузька гімназія Бабчинецької сільської ради Могилів-Подільського району Вінницької області",144047,"так","Вило-Ярузька гімназія","працює","гімназія","Комунальна","0524982001","Вінницька область","с. Вила-Ярузькі, Чернівецький район, Вінницька область","вулиця Центральна, 33",NA,"Відділ освіти, культури, молоді та спорту Бабчинецької сільської ради","(096)9024452",NA,"vilaszh13@ukr.net",NA,"Директор Політанська Антоніна Миколаївна","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"10","Височанська гімназія-філія Вапнярського ліцею № 2 Вапнярської селищної ради Вінницької області",136690,"так","Височанська гімназія-філія Вапнярського ліцею № 2","працює","гімназія","Комунальна","0523981701","Вінницька область","с. Високе, Томашпільський район, Вінницька область","вулиця Шкільна, 8",NA,"Відділ освіти, культури, молоді та спорту Вапнярської селищної ради об`єднаної територіальної громади","(04348)2-34-81",NA,"visokeschool@meta.ua","http://vs.tmedu.vn.ua/","Директор Замощенко Наталка Олексіївна","Філія","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"11","Філія «Вищекропивнянська загальноосвітня школа І-ІІ ступенів» комунального закладу «Ситковецька загальноосвітня школа І-ІІІ ступенів Ситковецької селищної ради Немирівського району Вінницької області»",141846,"так","Вищекропивнянська ЗОШ","працює","школа","Комунальна","0523081601","Вінницька область","с. Вища Кропивна, Немирівський район, Вінницька область","вулиця Центральна, 4",NA,"Відділ освіти Немирівської районної державної адміністрації","(04331)2-14-17",NA,"vkropyvna@ukr.net","vkropyvna-zosh.vn.sch.in.ua","Завідувач філією Білошицька Людмила Василівна","Філія","так","ні","ні",125,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"12","КОМУНАЛЬНИЙ ЗАКЛАД ""ВОЛОВОДІВСЬКИЙ ЛІЦЕЙ"" ВОРОНОВИЦЬКОЇ СЕЛИЩНОЇ РАДИ",145392,"так","КЗ ""ВОЛОВОДІВСЬКИЙ ЛІЦЕЙ""","ліквідовано","ліцей","Комунальна","0523081001","Вінницька область","с. Воловодівка, Немирівський район, Вінницька область","вулиця Миру, 22",NA,"Відділ освіти, культури, туризму та спорту Вороновицької селищної ради","(04331)33442",NA,"Volovodivskazosh@ukr.net",NA,"Директор Сологуб Любов Сергіївна","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"13","Ганнопільський ліцей Тульчинської міської ради Вінницької області",146158,"так","Ганнопільський ліцей","працює","школа","Комунальна","0524380201","Вінницька область","с. Ганнопіль, Тульчинський район, Вінницька область","вулиця Набережна, 1",NA,"Відділ освіти, молоді та спорту Тульчинської міської ради","(04335)22132",NA,"annopolschool@ukr.net","http://gnp.tuedu.vn.ua/","Директор Литвинюк Ганна Іллічна","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"14","Глинянський навчально- виховний комплекс "" Загальноосвітня школа - дошкільний навчальний заклад"" І ступеня",135171,"так","Глинянський НВК "" ДНЗ-ЗОШ""","призупинено","навчально-виховний комплекс (об'єднання)","Комунальна","0520280102","Вінницька область","с. Глинянка, Барський район, Вінницька область","вулиця волошкова, 48",NA,"Відділ освіти Барської міської ради","(04341)33543",NA,NA,NA,"Директор Рудик Анатолій Миколайович","Філія","так","ні","ні",1,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"15","Комунальний заклад ""Гонорівська гімназія Студенянської сільської ради Вінницької області""",138865,"так","КЗ ""Гонорівська гімназія Студенянської сільської ради Вінницької області""","працює","гімназія","Комунальна","0523280601","Вінницька область","с. Гонорівка, Піщанський район, Вінницька область","вулиця Андрія Добраня, 10",NA,"Відділ освіти, культури, молоді та спорту Студенянської сільської ради","(067)1860658",NA,"gonorivkaschool@ukr.net","https://gonorivka-nvk.e-schools.info/","Директор П'ятківська Людмила Михайлівна","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"16","Гуньківська філія Ліцею №2 м. Немирова Немирівської міської ради",147107,"так","Гуньківська філія Ліцею №2 м. Немирова","працює","гімназія","Комунальна","0523089402","Вінницька область","с. Гунька, Немирівський район, Вінницька область","вулиця Вишнева, 30а",NA,"Відділ освіти Немирівської міської ради","(04331)3-46-86",NA,"gunkaschool@ukr.net",NA,"Завідувач філією Заєць Валентина Федорівна","Філія","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"17","Гуровецька філія Непедівського ліцею",143786,"так","Гуровецька філія Непедівського ліцею","працює","гімназія","Комунальна","0521485206","Вінницька область","с. Гурівці, Козятинський район, Вінницька область","вулиця Шкільна, 7",NA,"Відділ освіти, культури, молоді та спорту Глуховецької селищної ради Козятинського району Вінницької області","(04342)32625",NA,"gyrivecka.school@gmail.com","http://gurovecka-school.com.ua","Завідувач філією Олійник Людмила Станіславівна","Філія","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"18","ліцей с. Гущинці Іванівської сільської ради Вінницької області",140507,"так","ліцей с. Гущинці","працює","ліцей","Комунальна","0521681403","Вінницька область","с. Гущинці, Калинівський район, Вінницька область","вулиця Шевченка, 85",NA,"Відділ освіти, культури, молоді та спорту Іванівської сільської ради","(04333)36447",NA,"guschen_kb@ukr.net","http://gus.kledu.vn.ua","Директор Первак Василь Миколайович","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"19","Демидівський навчально-виховний комплекс: дошкільний навчальний заклад -загальноосвітня школа І ступеня-філія опорного закладу освіти "" Тростянецький заклад загальної середньої освіти І-ІІІ ступенів №1 Тростянецької селищної ради Вінницької області""""",136891,"так","Демидівський НВК","ліквідовано","навчально-виховний комплекс (об'єднання)","Комунальна","0524181701","Вінницька область","с. Демидівка, Тростянецький район, Вінницька область","вулиця Могильчака, 2А",NA,"Управління освіти, культури, туризму, молоді та спорту Тростянецької селищної ради","(04343)27924",NA,"nvkdemidov@gmail.com",NA,"Пустовойт Тамара Миколаївна","Філія","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"20","КОМУНАЛЬНИЙ ЗАКЛАД ""ДЕСНЯНСЬКИЙ НАВЧАЛЬНО-ВИХОВНИЙ КОМПЛЕКС: ПОЧАТКОВА ШКОЛА - ЗАКЛАД ДОШКІЛЬНОЇ ОСВІТИ ВІННИЦЬКОЇ МІСЬКОЇ РАДИ""",138634,"так","КЗ ""ДНВК: ПШ-ЗДО ВМР""","ліквідовано","навчально-виховний комплекс (об'єднання)","Комунальна","0520655500","Вінницька область","смт Десна, Вінницький район, Вінницька область","вулиця Гагаріна, 11",NA,"Департамент освіти Вінницької міської ради","(098)8365155",NA,"fedorik1968@ukr.net","http://dnvz.vnedu.vn.ua/","Директор Федорик Людмила Михайлівна","ні","ні","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"21","Дранська початкова школа Тульчинської міської ради Вінницької області",150094,"так","Дранська початкова школа","працює","школа","Комунальна","0524380801","Вінницька область","с. Дранка, Тульчинський район, Вінницька область","вулиця Молодіжна, 15",NA,"Відділ освіти, молоді та спорту Тульчинської міської ради","(04335)38049",NA,"tanyamaryan017@gmail.com","https://tulchyn-msk-osvita.gov.ua/dranska-zagalnoosvitnya-shkola-i-stupenya-17-47-53-01-10-2019/","В.о. директора Мар'ян Тетяна Іванівна","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"22","опорний заклад загальної середньої освіти-ліцей з дошкільним підрозділом с. Дружелюбівка Калинівської міської ради Вінницької області",141438,"так","Дружелюбівський ліцей","працює","ліцей","Комунальна","0521681603","Вінницька область","с. Дружелюбівка, Калинівський район, Вінницька область","вулиця Центральна, 54",NA,"Відділ освіти, молоді та спорту Калинівської міської ради","(04333)34134",NA,"drs_school@ukr.net","dr.kledu.vn.ua","Директор Ярова Галина Григорівна","Опорний заклад","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"23","Жаданівський ліцей Іллінецької міської ради Вінницької області",140605,"так","Жаданівський ліцей","працює","ліцей","Комунальна","0521282003","Вінницька область","с. Жадани, Іллінецький район, Вінницька область","вулиця Центральна, 79",NA,"Управління освіти Іллінецької міської ради","(04345)2-96-69",NA,"zhadany.school@ukr.net",NA,"Директор Шмигора Світлана Валеріївна","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"24","комунальний заклад ""Навчально-виховний комплекс загальноосвітня школа 1-2 ступенів - дошкільний навчальний заклад с. Жигалівка Калинівський район Вінницька область""",141068,"так","НВК ЗОШ -ДНЗ c. Жигалівка","працює","навчально-виховний комплекс (об'єднання)","Комунальна","0521682003","Вінницька область","с. Жигалівка, Калинівський район, Вінницька область","вулиця Шкільна, 30",NA,"Відділ освіти та спорту Калинівської районної державної адміністрації","(04333)39129",NA,"jugaliv@ukr.net","https://jugaliv.e-schools.info","Директор Миколюк Іван Петрович","ні","так","ні","ні",94,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
